"Osa-alue,""2022 Yhteensa Yhteensa"",""2022 Yhteensa Omakoti- ja paritalot"",""2022 Yhteensa Rivitalot"",""2022 Yhteensa Kerrostalot"",""2022 Yhteensa Muut rakennukset"",""2022 - 1920 Yhteensa"",""2022 - 1920 Omakoti- ja paritalot"",""2022 - 1920 Rivitalot"",""2022 - 1920 Kerrostalot"",""2022 - 1920 Muut rakennukset"",""2022 1921 - 1939 Yhteensa"",""2022 1921 - 1939 Omakoti- ja paritalot"",""2022 1921 - 1939 Rivitalot"",""2022 1921 - 1939 Kerrostalot"",""2022 1921 - 1939 Muut rakennukset"",""2022 1940 - 1959 Yhteensa"",""2022 1940 - 1959 Omakoti- ja paritalot"",""2022 1940 - 1959 Rivitalot"",""2022 1940 - 1959 Kerrostalot"",""2022 1940 - 1959 Muut rakennukset"",""2022 1960 - 1969 Yhteensa"",""2022 1960 - 1969 Omakoti- ja paritalot"",""2022 1960 - 1969 Rivitalot"",""2022 1960 - 1969 Kerrostalot"",""2022 1960 - 1969 Muut rakennukset"",""2022 1970 - 1979 Yhteensa"",""2022 1970 - 1979 Omakoti- ja paritalot"",""2022 1970 - 1979 Rivitalot"",""2022 1970 - 1979 Kerrostalot"",""2022 1970 - 1979 Muut rakennukset"",""2022 1980 - 1989 Yhteensa"",""2022 1980 - 1989 Omakoti- ja paritalot"",""2022 1980 - 1989 Rivitalot"",""2022 1980 - 1989 Kerrostalot"",""2022 1980 - 1989 Muut rakennukset"",""2022 1990 - 1999 Yhteensa"",""2022 1990 - 1999 Omakoti- ja paritalot"",""2022 1990 - 1999 Rivitalot"",""2022 1990 - 1999 Kerrostalot"",""2022 1990 - 1999 Muut rakennukset"",""2022 2000 - 2009 Yhteensa"",""2022 2000 - 2009 Omakoti- ja paritalot"",""2022 2000 - 2009 Rivitalot"",""2022 2000 - 2009 Kerrostalot"",""2022 2000 - 2009 Muut rakennukset"",""2022 2010 - 2019 Yhteensa"",""2022 2010 - 2019 Omakoti- ja paritalot"",""2022 2010 - 2019 Rivitalot"",""2022 2010 - 2019 Kerrostalot"",""2022 2010 - 2019 Muut rakennukset"",""2022 2020 Yhteensa"",""2022 2020 Omakoti- ja paritalot"",""2022 2020 Rivitalot"",""2022 2020 Kerrostalot"",""2022 2020 Muut rakennukset"",""2022 Tuntematon Yhteensa"",""2022 Tuntematon Omakoti- ja paritalot"",""2022 Tuntematon Rivitalot"",""2022 Tuntematon Kerrostalot"",""2022 Tuntematon Muut rakennukset"""
091 302 Alppiharjun peruspiiri,9624,4,54,9338,228,1029,0,54,975,0,3847,3,0,3822,22,1853,1,0,1682,170,2344,0,0,2338,6,107,0,0,107,0,375,0,0,345,30,69,0,0,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
091 121 Harju,6104,0,0,5935,169,639,0,0,639,0,2617,0,0,2613,4,1186,0,0,1026,160,1267,0,0,1262,5,107,0,0,107,0,243,0,0,243,0,45,0,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
091 122 Alppila,3520,4,54,3403,59,390,0,54,336,0,1230,3,0,1209,18,667,1,0,656,10,1077,0,0,1076,1,0,0,0,0,0,132,0,0,102,30,24,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
091 303 Vallilan peruspiiri,11213,14,21,11059,119,533,6,0,523,4,2685,5,0,2669,11,1946,1,8,1918,19,1500,0,0,1428,72,31,0,0,25,6,151,0,0,148,3,687,0,0,684,3,804,2,13,788,1,2396,0,0,2396,0,480,0,0,480,0,0,0,0,0,0
091 211 Hermanninmaki,3713,9,16,3680,8,42,4,0,34,4,117,2,0,114,1,1164,1,8,1154,1,471,0,0,471,0,0,0,0,0,0,1,0,0,0,..,539,0,0,538,1,606,2,8,596,0,773,0,0,773,0,0,0,0,0,0,0,0,0,0,0
091 212 Hermanninranta,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
091 213 Kylasaari,383,0,0,381,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,..,1,0,0,0,..,381,0,0,381,0,0,0,0,0,0,0,0,0,0,0
091 220 Vallila,7117,5,5,6998,109,491,2,0,489,0,2568,3,0,2555,10,782,0,0,764,18,1029,0,0,957,72,31,0,0,25,6,150,0,0,148,2,147,0,0,146,1,197,0,5,192,0,1242,0,0,1242,0,480,0,0,480,0,0,0,0,0,0
091 304 Pasilan peruspiiri,7859,9,3,7826,21,76,8,3,64,1,0,0,0,0,0,2,..,0,0,..,0,0,0,0,0,2226,0,0,2222,4,2349,0,0,2334,15,0,0,0,0,0,237,0,0,237,0,840,0,0,840,0,2129,0,0,2129,0,0,0,0,0,0
091 171 Lansi-Pasila,3215,6,0,3204,5,9,6,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,..,2336,0,0,2334,2,0,0,0,0,0,138,0,0,138,0,730,0,0,730,0,0,0,0,0,0,0,0,0,0,0
091 172 Pohjois-Pasila,1325,0,0,1324,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99,0,0,99,0,1,0,0,0,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1225,0,0,1225,0,0,0,0,0,0
091 173 Ita-Pasila,2237,1,0,2222,14,0,0,0,0,0,0,0,0,0,0,1,..,0,0,0,0,0,0,0,0,2125,0,0,2123,2,12,0,0,0,12,0,0,0,0,0,99,0,0,99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
091 174 Keski-Pasila,1082,2,3,1076,1,67,..,3,62,0,0,0,0,0,0,1,0,0,0,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,110,0,0,110,0,904,0,0,904,0,0,0,0,0,0
091 305 Vanhankaupungin peruspiiri,14490,790,112,13291,297,86,25,6,46,9,1892,684,17,1156,35,3685,58,29,3563,35,542,2,6,528,6,1138,0,0,931,207,601,2,0,596,3,692,3,42,645,2,2738,3,6,2729,0,2388,11,6,2371,0,728,2,0,726,0,0,0,0,0,0
091 231 Toukola,882,128,53,701,0,19,1,0,18,0,173,117,0,56,0,542,4,29,509,0,114,0,6,108,0,0,0,0,0,0,11,1,0,10,0,14,2,12,0,0,8,2,6,0,0,1,..,0,0,0,0,0,0,0,0,0,0,0,0,0
091 232 Arabianranta,3938,0,0,3931,7,2,0,0,0,..,1,0,0,0,..,0,0,0,0,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2304,0,0,2304,0,1483,0,0,1483,0,144,0,0,144,0,0,0,0,0,0
091 240 Kumpula,2384,137,34,2184,29,4,0,0,0,4,498,133,4,355,6,187,1,0,170,16,1,0,0,0,..,110,0,0,110,0,549,0,0,549,0,329,0,30,297,2,313,1,0,312,0,391,0,0,391,0,2,..,0,0,0,0,0,0,0,0
091 250 Kapyla,4585,352,9,4175,49,38,22,0,16,0,1055,315,9,709,22,2725,9,0,2697,19,3,2,0,0,1,4,0,0,0,4,41,1,0,37,3,349,1,0,348,0,113,0,0,113,0,220,2,0,218,0,37,0,0,37,0,0,0,0,0,0
091 260 Koskela,2269,164,0,1896,209,0,0,0,0,0,152,119,0,27,6,127,44,0,83,0,420,0,0,420,0,1024,0,0,821,203,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,..,0,0,0,545,0,0,545,0,0,0,0,0,0
091 270 Vanhakaupunki,432,9,16,404,3,23,2,6,12,3,13,0,4,9,0,104,0,0,104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,292,7,6,279,0,0,0,0,0,0,0,0,0,0,0
091 401 Maunulan peruspiiri,5432,554,339,4412,127,10,7,0,3,0,54,24,0,30,0,2106,260,195,1643,8,1831,49,6,1679,97,911,26,49,831,5,70,29,30,0,11,83,34,20,26,3,56,41,13,0,2,215,80,18,116,1,96,4,8,84,0,0,0,0,0,0
091 281 Pirkkola,219,210,6,0,3,1,..,0,0,0,2,..,0,0,0,205,204,0,0,1,7,1,6,0,0,3,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,..,0,0,0,0,0,0,0,0,0,0,0,0,0
091 282 Maunula,4673,114,215,4285,59,0,0,0,0,0,0,0,0,0,0,1831,36,192,1602,1,1721,6,0,1661,54,804,0,0,804,0,4,0,0,0,4,28,2,0,26,0,16,16,0,0,0,185,54,15,116,0,84,0,8,76,0,0,0,0,0,0
091 283 Metsala,540,230,118,127,65,9,6,0,3,0,52,22,0,30,0,70,20,3,41,6,103,42,0,18,43,104,25,49,27,3,66,29,30,0,7,55,32,20,0,3,40,25,13,0,2,29,25,3,0,1,12,4,0,8,0,0,0,0,0,0
091 286 Maunulanpuisto,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
091 402 Lansi-Pakilan peruspiiri,3165,1483,1322,342,18,12,7,4,0,1,47,30,0,16,1,473,383,6,78,6,611,183,267,154,7,684,202,460,20,2,517,232,276,8,1,286,120,166,0,0,172,119,40,13,0,258,166,62,30,0,105,41,41,23,0,0,0,0,0,0
091 341 Lansi-Pakila,3165,1483,1322,342,18,12,7,4,0,1,47,30,0,16,1,473,383,6,78,6,611,183,267,154,7,684,202,460,20,2,517,232,276,8,1,286,120,166,0,0,172,119,40,13,0,258,166,62,30,0,105,41,41,23,0,0,0,0,0,0
091 403 Tuomarinkylan peruspiiri,3550,2046,1244,229,31,5,5,0,0,0,0,0,0,0,0,510,462,13,23,12,80,52,7,3,18,434,191,243,0,0,1267,660,518,88,1,516,258,194,64,0,452,194,207,51,0,235,184,51,0,0,51,40,11,0,0,0,0,0,0,0
091 351 Paloheina,2401,1421,926,33,21,1,..,0,0,0,0,0,0,0,0,348,317,13,16,2,56,28,7,3,18,422,179,243,0,0,741,439,293,8,1,358,183,175,0,0,304,165,133,6,0,133,82,51,0,0,38,27,11,0,0,0,0,0,0,0
091 352 Torpparinmaki,1142,621,318,196,7,0,0,0,0,0,0,0,0,0,0,159,145,0,7,7,24,24,0,0,0,12,12,0,0,0,526,221,225,80,0,158,75,19,64,0,148,29,74,45,0,102,102,0,0,0,13,13,0,0,0,0,0,0,0,0
091 354 Haltiala,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
091 404 Oulunkylan peruspiiri,8225,715,958,6523,29,77,43,0,30,4,50,23,4,23,0,711,109,9,591,2,1856,87,36,1725,8,1962,79,317,1562,4,1355,133,398,816,8,992,88,116,786,2,235,75,16,143,1,639,51,50,538,0,348,27,12,309,0,0,0,0,0,0
091 284 Patola,5939,431,675,4818,15,38,14,0,22,2,21,12,0,9,0,675,73,9,591,2,1507,60,28,1419,0,1653,59,198,1393,3,948,67,311,563,7,216,48,57,110,1,216,57,16,143,0,619,31,50,538,0,46,10,6,30,0,0,0,0,0,0
091 285 Verajamaki,1610,284,283,1029,14,39,29,0,8,2,29,11,4,14,0,36,36,0,0,0,349,27,8,306,8,309,20,119,169,1,407,66,87,253,1,100,40,59,0,1,19,18,0,0,1,20,20,0,0,0,302,17,6,279,0,0,0,0,0,0
091 287 Verajalaakso,676,0,0,676,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,676,0,0,676,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
091 405 Ita-Pakilan peruspiiri,1586,752,633,183,18,34,31,0,3,0,52,43,0,2,7,156,138,3,14,1,271,93,84,88,6,310,83,218,9,0,391,138,183,67,3,105,61,43,0,1,153,97,56,0,0,85,45,40,0,0,29,23,6,0,0,0,0,0,0,0
091 342 Ita-Pakila,1491,697,602,175,17,27,26,0,1,0,51,42,0,2,7,156,138,3,14,1,271,93,84,88,6,310,83,218,9,0,335,120,152,61,2,105,61,43,0,1,128,72,56,0,0,79,39,40,0,0,29,23,6,0,0,0,0,0,0,0
091 353 Tuomarinkartano,95,55,31,8,1,7,5,0,2,0,1,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,18,31,6,..,0,0,0,0,0,25,25,0,0,0,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0
091 501 Latokartanon peruspiiri,13813,225,814,12599,175,4,4,0,0,0,30,1,0,28,1,77,13,0,60,4,2551,0,4,2422,125,2199,1,22,2137,39,1089,21,241,823,4,634,7,41,585,1,4630,50,305,4274,1,2273,89,186,1998,0,326,39,15,272,0,0,0,0,0,0
091 361 Viikinranta,677,35,47,591,4,2,..,0,0,0,30,1,0,28,1,45,4,0,41,0,17,0,4,12,1,5,1,0,4,0,54,4,32,16,2,3,0,3,0,0,414,0,8,406,0,105,21,0,84,0,2,..,0,0,0,0,0,0,0,0
091 362 Latokartano,4743,97,354,4292,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,298,0,0,298,0,3346,48,276,3022,0,1098,48,78,972,0,1,..,0,0,0,0,0,0,0,0
091 363 Viikin tiedepuisto,682,5,0,633,44,2,..,0,0,0,0,0,0,0,0,21,1,0,16,4,2,0,0,0,..,178,0,0,140,38,0,0,0,0,0,104,2,0,102,0,113,0,0,113,0,262,0,0,262,0,0,0,0,0,0,0,0,0,0,0
091 364 Viikinmaki,1644,40,115,1488,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,689,0,0,688,..,726,6,100,620,0,229,34,15,180,0,0,0,0,0,0
091 383 Pihlajamaki,4376,44,257,3949,126,0,0,0,0,0,0,0,0,0,0,11,8,0,3,0,2532,0,0,2410,122,498,0,8,489,1,1023,17,197,807,2,187,1,34,151,1,41,2,10,29,0,82,14,8,60,0,2,..,0,0,0,0,0,0,0,0
091 386 Pihlajisto,1691,4,41,1646,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1518,0,14,1504,0,12,0,12,0,0,42,4,4,34,0,27,0,11,16,0,0,0,0,0,0,92,0,0,92,0,0,0,0,0,0
091 502 Pukinmaen peruspiiri,5029,188,305,4533,3,14,11,2,0,1,15,11,0,4,0,35,26,0,9,0,235,15,19,201,0,1479,17,51,1411,0,1938,46,230,1662,0,878,19,3,854,2,77,20,0,57,0,352,17,0,335,0,6,6,0,0,0,0,0,0,0,0
091 370 Pukinmaki,5029,188,305,4533,3,14,11,2,0,1,15,11,0,4,0,35,26,0,9,0,235,15,19,201,0,1479,17,51,1411,0,1938,46,230,1662,0,878,19,3,854,2,77,20,0,57,0,352,17,0,335,0,6,6,0,0,0,0,0,0,0,0
091 503 Malmin peruspiiri,15850,3410,1716,10563,161,190,104,16,68,2,412,281,9,108,14,512,425,6,69,12,1372,254,63,1044,11,1510,225,368,860,57,5309,754,684,3818,53,2267,540,204,1518,5,2263,422,193,1644,4,1207,300,73,832,2,808,105,100,602,1,0,0,0,0,0
091 381 Yla-Malmi,3795,143,44,3579,29,11,5,0,5,1,90,25,5,57,3,56,11,0,42,3,517,10,0,502,5,156,7,0,135,14,1506,49,26,1429,2,776,17,5,753,1,624,6,5,613,0,14,11,3,0,0,45,2,0,43,0,0,0,0,0,0
091 382 Ala-Malmi,3733,482,224,2977,50,12,5,3,3,1,23,10,0,12,1,111,106,0,4,1,408,36,19,352,1,199,14,2,182,1,1506,87,102,1274,43,92,36,3,51,2,164,74,6,84,0,812,79,0,733,0,406,35,89,282,0,0,0,0,0,0
091 384 Tattariharju,10,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,..,3,0,0,0,3,4,0,0,0,4,1,0,0,0,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
091 385 Malmin lentokentta,1056,264,129,661,2,23,14,0,9,0,24,24,0,0,0,9,9,0,0,0,28,19,9,0,0,32,18,13,0,..,133,100,33,0,0,79,47,31,0,..,718,27,39,652,0,8,4,4,0,0,2,..,0,0,0,0,0,0,0,0
091 391 Tapaninvainio,3860,1794,1100,911,55,43,26,6,11,0,89,80,4,0,5,257,248,3,1,5,222,163,28,28,3,689,178,315,158,38,1309,386,486,434,3,602,284,134,184,0,305,237,68,0,0,210,146,45,18,1,134,46,11,77,0,0,0,0,0,0
091 392 Tapanila,3396,727,219,2435,15,101,54,7,40,0,186,142,0,39,5,79,51,3,22,3,195,26,7,162,0,431,8,38,385,0,851,132,37,681,1,717,156,31,530,0,452,78,75,295,4,163,60,21,81,1,221,20,0,200,1,0,0,0,0,0
091 504 Suutarilan peruspiiri,5474,1609,1237,2623,5,10,10,0,0,0,18,7,0,11,0,195,183,10,1,1,533,170,52,310,1,1193,129,242,822,0,2147,513,618,1013,3,637,235,151,251,0,174,164,6,4,0,474,128,135,211,0,93,70,23,0,0,0,0,0,0,0
091 401 Siltamaki,3967,761,928,2275,3,4,4,0,0,0,12,1,0,11,0,72,66,5,1,0,417,107,0,310,0,1153,97,236,820,0,1314,210,434,667,3,454,85,118,251,0,64,60,0,4,0,428,82,135,211,0,49,49,0,0,0,0,0,0,0,0
091 403 Toyrynummi,1507,848,309,348,2,6,6,0,0,0,6,6,0,0,0,123,117,5,0,..,116,63,52,0,..,40,32,6,2,0,833,303,184,346,0,183,150,33,0,0,110,104,6,0,0,46,46,0,0,0,44,21,23,0,0,0,0,0,0,0
091 505 Puistolan peruspiiri,9605,3366,2034,4085,120,35,33,0,2,0,196,169,8,19,0,473,446,0,22,5,315,295,4,10,6,2349,200,392,1670,87,2835,871,887,1061,16,1149,494,419,233,3,690,360,79,248,3,1401,380,218,803,0,162,118,27,17,0,0,0,0,0,0
091 402 Tapulikaupunki,4484,988,695,2715,86,8,8,0,0,0,27,23,1,3,0,165,147,0,18,0,103,96,0,7,0,1706,38,77,1512,79,1284,253,323,705,3,484,163,233,87,1,381,121,9,248,3,286,102,49,135,0,40,37,3,0,0,0,0,0,0,0
091 411 Puistola,2967,1621,868,470,8,26,24,0,2,0,142,119,7,16,0,200,193,0,3,4,155,149,4,0,2,515,110,247,158,0,1096,432,402,260,2,379,226,127,26,0,221,160,61,0,0,169,161,3,5,0,64,47,17,0,0,0,0,0,0,0
091 412 Heikinlaakso,1208,662,309,220,17,0,0,0,0,0,24,24,0,0,0,104,102,0,1,1,53,48,0,3,2,124,52,68,0,4,448,182,162,96,8,286,105,59,120,2,87,78,9,0,0,54,43,11,0,0,28,28,0,0,0,0,0,0,0,0
091 413 Tattarisuo,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
091 415 Alppikyla,937,95,162,680,0,1,..,0,0,0,3,3,0,0,0,4,4,0,0,0,2,..,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,1,..,0,0,0,892,74,155,663,0,30,6,7,17,0,0,0,0,0,0
091 506 Jakomaen peruspiiri,3077,79,98,2895,5,0,0,0,0,0,1,..,0,0,0,26,26,0,0,0,1281,12,0,1269,0,906,0,0,902,4,364,5,26,333,0,77,2,22,52,1,111,12,28,71,0,311,21,22,268,0,0,0,0,0,0,0,0,0,0,0
091 414 Jakomaki,3077,79,98,2895,5,0,0,0,0,0,1,..,0,0,0,26,26,0,0,0,1281,12,0,1269,0,906,0,0,902,4,364,5,26,333,0,77,2,22,52,1,111,12,28,71,0,311,21,22,268,0,0,0,0,0,0,0,0,0,0,0
091 601 Kulosaaren peruspiiri,2183,346,207,1613,17,121,75,6,34,6,53,49,0,4,0,55,39,5,8,3,1455,33,132,1285,5,171,21,32,118,0,90,50,17,21,2,132,45,9,78,0,40,7,6,27,0,20,19,0,0,1,46,8,0,38,0,0,0,0,0,0
091 190 Mustikkamaa-Korkeasaari,10,5,4,0,1,3,2,0,0,..,0,0,0,0,0,0,0,0,0,0,6,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,..,0,0,0,0,0,0,0,0,0,0,0,0,0
091 420 Kulosaari,2173,341,203,1613,16,118,73,6,34,5,53,49,0,4,0,55,39,5,8,3,1449,31,128,1285,5,171,21,32,118,0,90,50,17,21,2,132,45,9,78,0,40,7,6,27,0,19,18,0,0,1,46,8,0,38,0,0,0,0,0,0
091 602 Herttoniemen peruspiiri,18230,497,764,16904,65,11,5,4,0,2,39,16,14,9,0,6301,147,140,5989,25,2136,48,165,1908,15,484,47,200,226,11,510,84,54,362,10,3810,72,64,3673,1,1957,50,98,1809,0,2204,21,4,2179,0,778,7,21,749,1,0,0,0,0,0
091 431 Lansi-Herttoniemi,5813,187,151,5460,15,0,0,0,0,0,14,0,14,0,0,4121,117,98,3899,7,429,15,0,414,0,159,11,0,140,8,32,26,0,6,0,310,0,0,310,0,94,12,39,43,0,590,6,0,584,0,64,0,0,64,0,0,0,0,0,0
091 432 Roihuvuori,4991,0,15,4972,4,0,0,0,0,0,0,0,0,0,0,2089,0,0,2087,2,1425,0,0,1425,0,28,0,0,26,2,303,0,0,303,0,640,0,0,640,0,65,0,0,65,0,337,0,0,337,0,104,0,15,89,0,0,0,0,0,0
091 433 Herttoniemen yritysalue,1174,0,0,1135,39,0,0,0,0,0,0,0,0,0,0,16,0,0,0,16,13,0,0,0,13,1,0,0,0,..,8,0,0,0,8,0,0,0,0,0,0,0,0,0,0,589,0,0,589,0,547,0,0,546,1,0,0,0,0,0
091 434 Herttoniemenranta,5254,34,71,5143,6,5,3,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,..,0,0,0,0,0,2,0,0,0,..,2781,24,33,2723,1,1745,6,38,1701,0,670,1,0,669,0,50,0,0,50,0,0,0,0,0,0
091 440 Tammisalo,998,276,527,194,1,6,2,4,0,0,25,16,0,9,0,75,30,42,3,0,268,33,165,69,..,296,36,200,60,0,165,58,54,53,0,79,48,31,0,0,53,32,21,0,0,18,14,4,0,0,13,7,6,0,0,0,0,0,0,0
091 603 Laajasalon peruspiiri,12458,1779,1403,9204,72,94,37,0,49,8,53,45,0,8,0,345,267,22,51,5,1794,134,117,1516,27,3242,91,550,2601,0,762,335,371,53,3,1316,319,231,765,1,705,272,65,341,27,2589,195,37,2356,1,1558,84,10,1464,0,0,0,0,0,0
091 480 Vartiosaari,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
091 491 Yliskyla,7724,477,986,6229,32,11,7,0,3,1,13,13,0,0,0,98,85,9,3,1,1565,57,60,1448,0,3181,46,534,2601,0,407,88,264,53,2,281,49,34,198,0,426,62,56,281,27,1163,48,29,1085,1,579,22,0,557,0,0,0,0,0,0
091 492 Jollas,1323,779,259,275,10,20,17,0,0,3,11,11,0,0,0,130,118,9,2,1,63,49,6,3,5,45,37,8,0,0,189,150,39,0,0,544,170,183,190,1,184,118,6,60,0,119,91,8,20,0,18,18,0,0,0,0,0,0,0,0
091 493 Tullisaari,832,4,0,828,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,828,0,0,828,0,0,0,0,0,0,0,0,0,0,0
091 494 Kruunuvuorenranta,1544,195,18,1330,1,2,..,0,0,0,9,9,0,0,0,14,14,0,0,0,17,8,8,0,..,1,..,0,0,0,12,12,0,0,0,54,54,0,0,0,32,32,0,0,0,452,29,0,423,0,951,34,10,907,0,0,0,0,0,0
091 495 Hevossalmi,754,313,97,343,1,4,4,0,0,0,5,5,0,0,0,57,49,4,3,..,20,20,0,0,0,15,7,8,0,0,153,85,68,0,0,400,46,14,340,0,63,60,3,0,0,27,27,0,0,0,10,10,0,0,0,0,0,0,0,0
091 500 Villinki,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
091 510 Santahamina,230,3,0,199,28,50,0,0,46,4,11,3,0,8,0,45,0,0,43,2,86,0,0,65,21,0,0,0,0,0,1,0,0,0,..,37,0,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
091 532 Itasaaret,44,1,43,0,0,0,0,0,0,0,0,0,0,0,0,1,..,0,0,0,43,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
091 701 Vartiokylan peruspiiri,11890,2344,726,8708,112,9,8,0,0,1,130,118,0,12,0,411,381,5,12,13,4933,205,68,4595,65,1667,219,145,1287,16,1602,509,348,741,4,1026,281,54,685,6,1298,275,89,927,7,681,229,3,449,0,133,119,14,0,0,0,0,0,0,0
091 451 Vartioharju,2974,1567,414,966,27,9,8,0,0,1,74,70,0,4,0,311,286,5,12,8,654,107,18,522,7,330,98,74,156,2,799,401,273,124,1,264,205,17,36,6,220,179,10,29,2,218,132,3,83,0,95,81,14,0,0,0,0,0,0,0
091 452 Puotila,3026,8,27,2983,8,0,0,0,0,0,0,0,0,0,0,1,0,0,0,..,2273,0,23,2245,5,48,0,0,46,2,0,0,0,0,0,0,0,0,0,0,639,8,4,627,0,65,0,0,65,0,0,0,0,0,0,0,0,0,0,0
091 453 Puotinharju,2539,68,39,2381,51,0,0,0,0,0,0,0,0,0,0,39,38,0,0,1,1898,7,16,1825,50,0,0,0,0,0,104,0,0,104,0,32,3,0,29,0,147,2,23,122,0,315,14,0,301,0,4,4,0,0,0,0,0,0,0,0
091 455 Marjaniemi,888,699,169,11,9,0,0,0,0,0,56,48,0,8,0,60,57,0,0,3,105,91,11,3,0,194,121,71,0,2,180,108,72,0,0,88,73,15,0,0,88,84,0,0,4,83,83,0,0,0,34,34,0,0,0,0,0,0,0,0
091 456 Roihupelto,17,0,3,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,10,0,0,0,10,4,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
091 457 Itakeskus,2446,2,74,2367,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1085,0,0,1085,0,515,0,0,513,2,642,0,22,620,0,204,..,52,149,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
091 702 Myllypuron peruspiiri,6792,805,670,5226,91,0,0,0,0,0,0,0,0,0,0,58,58,0,0,0,3498,101,69,3243,85,590,72,106,407,5,266,80,2,184,0,90,57,0,32,1,580,107,180,293,0,1380,297,295,788,0,330,33,18,279,0,0,0,0,0,0
091 454 Myllypuro,6792,805,670,5226,91,0,0,0,0,0,0,0,0,0,0,58,58,0,0,0,3498,101,69,3243,85,590,72,106,407,5,266,80,2,184,0,90,57,0,32,1,580,107,180,293,0,1380,297,295,788,0,330,33,18,279,0,0,0,0,0,0
