Gender,Education % 15-24 years Second degree and special vocational training degree,Education % 15-24 years Lowest higher and lower university level,Education % 15-24 years Higher university degree and research training,Education % 15-24 years All levels of education,Education % 15-24 years Elementary or unknown,Education % 15-24 years Total graduates,Education % 25-44 years Second degree and special vocational training degree,Education % 25-44 years Lowest higher and lower university level,Education % 25-44 years Higher university degree and research training,Education % 25-44 years All levels of education,Education % 25-44 years Elementary or unknown,Education % 25-44 years Total graduates,Education % 45-64 years Second degree and special vocational training degree,Education % 45-64 years Lowest higher and lower university level,Education % 45-64 years Higher university degree and research training,Education % 45-64 years All levels of education,Education % 45-64 years Elementary or unknown,Education % 45-64 years Total graduates,Education % 65 and over Second degree and special vocational training degree,Education % 65 and over Lowest higher and lower university level,Education % 65 and over Higher university degree and research training,Education % 65 and over All levels of education,Education % 65 and over Elementary or unknown,Education % 65 and over Total graduates,0-14 year olds,Pensioners and others,"Students, school children, conscripts and civil service",Employed,Unemployed,Labor force,Outside the labor force,Taxable income per housing association,Taxable income per person,Married couple without children,Married couple and children,Unmarried couple without children,Unmarried couple and children,Father and children,Mother and children,municipality,code,name,green area %
0,0.07604184,0.013393104,0.0006641209,0.13686424,0.04676518,0.09009907,0.1283967,0.10255133,0.151973,0.4616747,0.078753665,0.382921,0.066688806,0.055454094,0.10022691,0.25574186,0.033372074,0.2223698,0.024129724,0.03824229,0.062316675,0.14571919,0.021030495,0.12468869,0.06127395,0.08546344,0.04126846,0.26363802,0.022749096,0.28638712,0.18800585,77529.0,43172.0,0.292949,0.22084257,0.29303768,0.0681153,0.017738359,0.107317075,091,103,Kampinmalmin peruspiiri,
1,0.089386575,0.020824125,0.001571632,0.15411817,0.042335838,0.11178233,0.09709739,0.12101567,0.16241835,0.4234566,0.0429252,0.3805314,0.05373017,0.06689259,0.094739944,0.23392761,0.018564904,0.2153627,0.039781936,0.06188301,0.05117627,0.18849762,0.035656404,0.15284121,0.06008505,0.11543737,0.0456811,0.28229457,0.022108922,0.30440348,0.22120354,77529.0,43172.0,0.292949,0.22084257,0.29303768,0.0681153,0.017738359,0.107317075,091,103,Kampinmalmin peruspiiri,
0,0.083076924,0.009230769,0.0,0.13948718,0.047179487,0.092307694,0.17230769,0.12307692,0.22871795,0.60102564,0.07692308,0.52410257,0.05948718,0.05230769,0.06974359,0.20615384,0.024615385,0.18153846,0.0051282053,0.01948718,0.02153846,0.053333335,0.007179487,0.046153847,0.09600314,0.037225705,,0.2880094,0.021159874,0.3091693,0.16888715,,,0.19373219,0.26780626,0.2934473,0.10541311,0.015669515,0.123931624,091,103,Sompasaari,0.0
1,0.0674567,0.008204193,0.0027347312,0.14494075,0.06654512,0.07839563,0.13126709,0.17319964,0.22151321,0.57247037,0.046490427,0.52597994,0.039197814,0.05834093,0.082041934,0.19781221,0.01823154,0.17958067,0.020966271,0.023701003,0.025524156,0.08477666,0.014585232,0.07019143,0.09208464,0.06308778,0.045846395,0.3013323,0.019592477,0.32092476,0.20101881,,,0.19373219,0.26780626,0.2934473,0.10541311,0.015669515,0.123931624,091,103,Sompasaari,0.0
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,091,104,Hanasaari,6.51922198829116
1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,091,104,Hanasaari,6.51922198829116
0,0.06671059,0.007906441,0.00016471751,0.114808105,0.040026356,0.074781746,0.13885686,0.10690166,0.15549333,0.4610443,0.059792455,0.40125185,0.06407511,0.043979574,0.106572226,0.24328776,0.028660847,0.21462691,0.028825564,0.047273926,0.0770878,0.18085982,0.027672542,0.15318729,0.05237316,0.09387889,0.03338789,0.24811783,0.022389526,0.27050737,0.17963994,64963.0,39513.0,0.32448134,0.19972338,0.29460582,0.076625176,0.020470263,0.084094055,091,104,Taka-Toolon peruspiiri,
1,0.09313919,0.017840745,0.00065590977,0.14285715,0.031221304,0.11163584,0.08710481,0.119506754,0.17434081,0.4121737,0.031221304,0.3809524,0.038436312,0.06257379,0.103371374,0.21763085,0.013249377,0.20438148,0.044733044,0.08080808,0.062836155,0.22733831,0.038961038,0.18837728,0.049689036,0.13643208,0.04183306,0.30134207,0.020556465,0.32189852,0.22795418,64963.0,39513.0,0.32448134,0.19972338,0.29460582,0.076625176,0.020470263,0.084094055,091,104,Taka-Toolon peruspiiri,
0,0.041327488,0.005739929,0.0005218117,0.09413484,0.046545606,0.04758923,0.10832812,0.106971405,0.19035693,0.45230642,0.04664997,0.40565643,0.061573785,0.060843248,0.111772075,0.25840116,0.024212064,0.23418911,0.0329785,0.060321435,0.07378418,0.19515759,0.028073471,0.16708411,0.07818564,0.09055627,0.030360607,0.24862549,0.017828267,0.26645374,0.19910252,76649.0,41493.0,0.29075962,0.26655504,0.2406759,0.09346933,0.019637693,0.08890242,091,105,Lauttasaaren peruspiiri,
1,0.046732254,0.012297962,0.00079058326,0.09390373,0.034082923,0.0598208,0.06763879,0.11709417,0.20555165,0.4123331,0.022048488,0.3902846,0.044009134,0.07018623,0.11261419,0.2398981,0.013088546,0.22680956,0.052266337,0.09504568,0.05885453,0.25386506,0.047698524,0.20616655,0.0742238,0.13603655,0.03270537,0.27639878,0.015079237,0.291478,0.24296571,76649.0,41493.0,0.29075962,0.26655504,0.2406759,0.09346933,0.019637693,0.08890242,091,105,Lauttasaaren peruspiiri,
