"Alue,""Tulotyyppi"",""2017"""
"091 314 Koivusaari,""Valtionveronalaiset tulot € / henkilo"",.."
"091 314 Koivusaari,""Ansiotulot valtionverotuksessa yhteensa 100 € (Kunnallisveronalaiset tulot v.1993-95)"",.."
"091 314 Koivusaari,""Ansiotulot valtionverotuksessa € / asuntokunta (Kunnallisveronalaiset tulot v.1993-95)"",.."
"091 314 Koivusaari,""Ansiotulot valtionverotuksessa € / henkilo (Kunnallisveronalaiset tulot v.1993-95)"",.."
"091 314 Koivusaari,""Kunnallisverotuksessa verotettava tulo yhteensa 100 €"",.."
"091 314 Koivusaari,""Kunnallisverotuksessa verotettava tulo € / asuntokunta"",.."
"091 314 Koivusaari,""Kunnallisverotuksessa verotettava tulo € / henkilo"",.."
"091 201 Reijolan peruspiiri,""Asuntokunnat"",9572"
"091 201 Reijolan peruspiiri,""Henkilot"",17069"
"091 201 Reijolan peruspiiri,""Valtionveronalaiset tulot yhteensa 100 €"",5205149"
"091 201 Reijolan peruspiiri,""Valtionveronalaiset tulot € / asuntokunta"",54379"
"091 201 Reijolan peruspiiri,""Valtionveronalaiset tulot € / henkilo"",30495"
"091 201 Reijolan peruspiiri,""Ansiotulot valtionverotuksessa yhteensa 100 € (Kunnallisveronalaiset tulot v.1993-95)"",4854603"
"091 201 Reijolan peruspiiri,""Ansiotulot valtionverotuksessa € / asuntokunta (Kunnallisveronalaiset tulot v.1993-95)"",50717"
"091 201 Reijolan peruspiiri,""Ansiotulot valtionverotuksessa € / henkilo (Kunnallisveronalaiset tulot v.1993-95)"",28441"
"091 201 Reijolan peruspiiri,""Kunnallisverotuksessa verotettava tulo yhteensa 100 €"",4003532"
"091 201 Reijolan peruspiiri,""Kunnallisverotuksessa verotettava tulo € / asuntokunta"",41825"
"091 201 Reijolan peruspiiri,""Kunnallisverotuksessa verotettava tulo € / henkilo"",23455"
"091 150 Meilahti,""Asuntokunnat"",3145"
"091 150 Meilahti,""Henkilot"",5108"
"091 150 Meilahti,""Valtionveronalaiset tulot yhteensa 100 €"",1831339"
"091 150 Meilahti,""Valtionveronalaiset tulot € / asuntokunta"",58230"
"091 150 Meilahti,""Valtionveronalaiset tulot € / henkilo"",35852"
"091 150 Meilahti,""Ansiotulot valtionverotuksessa yhteensa 100 € (Kunnallisveronalaiset tulot v.1993-95)"",1684277"
"091 150 Meilahti,""Ansiotulot valtionverotuksessa € / asuntokunta (Kunnallisveronalaiset tulot v.1993-95)"",53554"
"091 150 Meilahti,""Ansiotulot valtionverotuksessa € / henkilo (Kunnallisveronalaiset tulot v.1993-95)"",32973"
"091 150 Meilahti,""Kunnallisverotuksessa verotettava tulo yhteensa 100 €"",1404058"
"091 150 Meilahti,""Kunnallisverotuksessa verotettava tulo € / asuntokunta"",44644"
"091 150 Meilahti,""Kunnallisverotuksessa verotettava tulo € / henkilo"",27487"
"091 160 Ruskeasuo (Ent.),""Asuntokunnat"",."
"091 160 Ruskeasuo (Ent.),""Henkilot"",."
"091 160 Ruskeasuo (Ent.),""Valtionveronalaiset tulot yhteensa 100 €"",."
"091 160 Ruskeasuo (Ent.),""Valtionveronalaiset tulot € / asuntokunta"",."
"091 160 Ruskeasuo (Ent.),""Valtionveronalaiset tulot € / henkilo"",."
"091 160 Ruskeasuo (Ent.),""Ansiotulot valtionverotuksessa yhteensa 100 € (Kunnallisveronalaiset tulot v.1993-95)"",."
"091 160 Ruskeasuo (Ent.),""Ansiotulot valtionverotuksessa € / asuntokunta (Kunnallisveronalaiset tulot v.1993-95)"",."
"091 160 Ruskeasuo (Ent.),""Ansiotulot valtionverotuksessa € / henkilo (Kunnallisveronalaiset tulot v.1993-95)"",."
"091 160 Ruskeasuo (Ent.),""Kunnallisverotuksessa verotettava tulo yhteensa 100 €"",."
"091 160 Ruskeasuo (Ent.),""Kunnallisverotuksessa verotettava tulo € / asuntokunta"",."
"091 160 Ruskeasuo (Ent.),""Kunnallisverotuksessa verotettava tulo € / henkilo"",."
"091 161 Vanha Ruskeasuo,""Asuntokunnat"",1610"
"091 161 Vanha Ruskeasuo,""Henkilot"",2755"
"091 161 Vanha Ruskeasuo,""Valtionveronalaiset tulot yhteensa 100 €"",871860"
"091 161 Vanha Ruskeasuo,""Valtionveronalaiset tulot € / asuntokunta"",54153"
"091 161 Vanha Ruskeasuo,""Valtionveronalaiset tulot € / henkilo"",31646"
"091 161 Vanha Ruskeasuo,""Ansiotulot valtionverotuksessa yhteensa 100 € (Kunnallisveronalaiset tulot v.1993-95)"",796111"
"091 161 Vanha Ruskeasuo,""Ansiotulot valtionverotuksessa € / asuntokunta (Kunnallisveronalaiset tulot v.1993-95)"",49448"
"091 161 Vanha Ruskeasuo,""Ansiotulot valtionverotuksessa € / henkilo (Kunnallisveronalaiset tulot v.1993-95)"",28897"
"091 161 Vanha Ruskeasuo,""Kunnallisverotuksessa verotettava tulo yhteensa 100 €"",656412"
"091 161 Vanha Ruskeasuo,""Kunnallisverotuksessa verotettava tulo € / asuntokunta"",40771"
"091 161 Vanha Ruskeasuo,""Kunnallisverotuksessa verotettava tulo € / henkilo"",23826"
"091 162 Pikku Huopalahti,""Asuntokunnat"",3598"
"091 162 Pikku Huopalahti,""Henkilot"",7220"
"091 162 Pikku Huopalahti,""Valtionveronalaiset tulot yhteensa 100 €"",1858458"
"091 162 Pikku Huopalahti,""Valtionveronalaiset tulot € / asuntokunta"",51653"
"091 162 Pikku Huopalahti,""Valtionveronalaiset tulot € / henkilo"",25740"
"091 162 Pikku Huopalahti,""Ansiotulot valtionverotuksessa yhteensa 100 € (Kunnallisveronalaiset tulot v.1993-95)"",1763319"
"091 162 Pikku Huopalahti,""Ansiotulot valtionverotuksessa € / asuntokunta (Kunnallisveronalaiset tulot v.1993-95)"",49008"
"091 162 Pikku Huopalahti,""Ansiotulot valtionverotuksessa € / henkilo (Kunnallisveronalaiset tulot v.1993-95)"",24423"
"091 162 Pikku Huopalahti,""Kunnallisverotuksessa verotettava tulo yhteensa 100 €"",1436542"
"091 162 Pikku Huopalahti,""Kunnallisverotuksessa verotettava tulo € / asuntokunta"",39926"
"091 162 Pikku Huopalahti,""Kunnallisverotuksessa verotettava tulo € / henkilo"",19897"
"091 180 Laakso,""Asuntokunnat"",1219"
"091 180 Laakso,""Henkilot"",1986"
"091 180 Laakso,""Valtionveronalaiset tulot yhteensa 100 €"",643492"
"091 180 Laakso,""Valtionveronalaiset tulot € / asuntokunta"",52789"
"091 180 Laakso,""Valtionveronalaiset tulot € / henkilo"",32401"
"091 180 Laakso,""Ansiotulot valtionverotuksessa yhteensa 100 € (Kunnallisveronalaiset tulot v.1993-95)"",610895"
"091 180 Laakso,""Ansiotulot valtionverotuksessa € / asuntokunta (Kunnallisveronalaiset tulot v.1993-95)"",50114"
"091 180 Laakso,""Ansiotulot valtionverotuksessa € / henkilo (Kunnallisveronalaiset tulot v.1993-95)"",30760"
"091 180 Laakso,""Kunnallisverotuksessa verotettava tulo yhteensa 100 €"",506520"
"091 180 Laakso,""Kunnallisverotuksessa verotettava tulo € / asuntokunta"",41552"
"091 180 Laakso,""Kunnallisverotuksessa verotettava tulo € / henkilo"",25505"
"091 202 Munkkiniemen peruspiiri,""Asuntokunnat"",9788"
"091 202 Munkkiniemen peruspiiri,""Henkilot"",17903"
"091 202 Munkkiniemen peruspiiri,""Valtionveronalaiset tulot yhteensa 100 €"",7998908"
"091 202 Munkkiniemen peruspiiri,""Valtionveronalaiset tulot € / asuntokunta"",81722"
"091 202 Munkkiniemen peruspiiri,""Valtionveronalaiset tulot € / henkilo"",44679"
"091 202 Munkkiniemen peruspiiri,""Ansiotulot valtionverotuksessa yhteensa 100 € (Kunnallisveronalaiset tulot v.1993-95)"",6287318"
"091 202 Munkkiniemen peruspiiri,""Ansiotulot valtionverotuksessa € / asuntokunta (Kunnallisveronalaiset tulot v.1993-95)"",64235"
"091 202 Munkkiniemen peruspiiri,""Ansiotulot valtionverotuksessa € / henkilo (Kunnallisveronalaiset tulot v.1993-95)"",35119"
"091 202 Munkkiniemen peruspiiri,""Kunnallisverotuksessa verotettava tulo yhteensa 100 €"",5415062"
"091 202 Munkkiniemen peruspiiri,""Kunnallisverotuksessa verotettava tulo € / asuntokunta"",55323"
"091 202 Munkkiniemen peruspiiri,""Kunnallisverotuksessa verotettava tulo € / henkilo"",30247"
"091 301 Vanha Munkkiniemi,""Asuntokunnat"",4783"
"091 301 Vanha Munkkiniemi,""Henkilot"",8789"
"091 301 Vanha Munkkiniemi,""Valtionveronalaiset tulot yhteensa 100 €"",4157754"
"091 301 Vanha Munkkiniemi,""Valtionveronalaiset tulot € / asuntokunta"",86928"
"091 301 Vanha Munkkiniemi,""Valtionveronalaiset tulot € / henkilo"",47306"
"091 301 Vanha Munkkiniemi,""Ansiotulot valtionverotuksessa yhteensa 100 € (Kunnallisveronalaiset tulot v.1993-95)"",3236992"
"091 301 Vanha Munkkiniemi,""Ansiotulot valtionverotuksessa € / asuntokunta (Kunnallisveronalaiset tulot v.1993-95)"",67677"
"091 301 Vanha Munkkiniemi,""Ansiotulot valtionverotuksessa € / henkilo (Kunnallisveronalaiset tulot v.1993-95)"",36830"
"091 301 Vanha Munkkiniemi,""Kunnallisverotuksessa verotettava tulo yhteensa 100 €"",2815366"
"091 301 Vanha Munkkiniemi,""Kunnallisverotuksessa verotettava tulo € / asuntokunta"",58862"
"091 301 Vanha Munkkiniemi,""Kunnallisverotuksessa verotettava tulo € / henkilo"",32033"
"091 302 Kuusisaari,""Asuntokunnat"",200"
"091 302 Kuusisaari,""Henkilot"",538"
"091 302 Kuusisaari,""Valtionveronalaiset tulot yhteensa 100 €"",582878"
"091 302 Kuusisaari,""Valtionveronalaiset tulot € / asuntokunta"",291439"
"091 302 Kuusisaari,""Valtionveronalaiset tulot € / henkilo"",108342"
"091 302 Kuusisaari,""Ansiotulot valtionverotuksessa yhteensa 100 € (Kunnallisveronalaiset tulot v.1993-95)"",319654"
"091 302 Kuusisaari,""Ansiotulot valtionverotuksessa € / asuntokunta (Kunnallisveronalaiset tulot v.1993-95)"",159827"
"091 302 Kuusisaari,""Ansiotulot valtionverotuksessa € / henkilo (Kunnallisveronalaiset tulot v.1993-95)"",59415"
"091 302 Kuusisaari,""Kunnallisverotuksessa verotettava tulo yhteensa 100 €"",289584"
"091 302 Kuusisaari,""Kunnallisverotuksessa verotettava tulo € / asuntokunta"",144792"
"091 302 Kuusisaari,""Kunnallisverotuksessa verotettava tulo € / henkilo"",53826"
"091 303 Lehtisaari,""Asuntokunnat"",540"
"091 303 Lehtisaari,""Henkilot"",1164"
"091 303 Lehtisaari,""Valtionveronalaiset tulot yhteensa 100 €"",950646"
"091 303 Lehtisaari,""Valtionveronalaiset tulot € / asuntokunta"",176046"
"091 303 Lehtisaari,""Valtionveronalaiset tulot € / henkilo"",81671"
"091 303 Lehtisaari,""Ansiotulot valtionverotuksessa yhteensa 100 € (Kunnallisveronalaiset tulot v.1993-95)"",557387"
"091 303 Lehtisaari,""Ansiotulot valtionverotuksessa € / asuntokunta (Kunnallisveronalaiset tulot v.1993-95)"",103220"
"091 303 Lehtisaari,""Ansiotulot valtionverotuksessa € / henkilo (Kunnallisveronalaiset tulot v.1993-95)"",47885"
"091 303 Lehtisaari,""Kunnallisverotuksessa verotettava tulo yhteensa 100 €"",500954"
"091 303 Lehtisaari,""Kunnallisverotuksessa verotettava tulo € / asuntokunta"",92769"
"091 303 Lehtisaari,""Kunnallisverotuksessa verotettava tulo € / henkilo"",43037"
"091 304 Munkkivuori,""Asuntokunnat"",2937"
"091 304 Munkkivuori,""Henkilot"",5019"
"091 304 Munkkivuori,""Valtionveronalaiset tulot yhteensa 100 €"",1611072"
"091 304 Munkkivuori,""Valtionveronalaiset tulot € / asuntokunta"",54854"
"091 304 Munkkivuori,""Valtionveronalaiset tulot € / henkilo"",32099"
"091 304 Munkkivuori,""Ansiotulot valtionverotuksessa yhteensa 100 € (Kunnallisveronalaiset tulot v.1993-95)"",1513168"
"091 304 Munkkivuori,""Ansiotulot valtionverotuksessa € / asuntokunta (Kunnallisveronalaiset tulot v.1993-95)"",51521"
"091 304 Munkkivuori,""Ansiotulot valtionverotuksessa € / henkilo (Kunnallisveronalaiset tulot v.1993-95)"",30149"
"091 304 Munkkivuori,""Kunnallisverotuksessa verotettava tulo yhteensa 100 €"",1270955"
"091 304 Munkkivuori,""Kunnallisverotuksessa verotettava tulo € / asuntokunta"",43274"
"091 304 Munkkivuori,""Kunnallisverotuksessa verotettava tulo € / henkilo"",25323"
"091 305 Niemenmaki,""Asuntokunnat"",764"
"091 305 Niemenmaki,""Henkilot"",1274"
"091 305 Niemenmaki,""Valtionveronalaiset tulot yhteensa 100 €"",438727"
"091 305 Niemenmaki,""Valtionveronalaiset tulot € / asuntokunta"",57425"
"091 305 Niemenmaki,""Valtionveronalaiset tulot € / henkilo"",34437"
"091 305 Niemenmaki,""Ansiotulot valtionverotuksessa yhteensa 100 € (Kunnallisveronalaiset tulot v.1993-95)"",408578"
"091 305 Niemenmaki,""Ansiotulot valtionverotuksessa € / asuntokunta (Kunnallisveronalaiset tulot v.1993-95)"",53479"
"091 305 Niemenmaki,""Ansiotulot valtionverotuksessa € / henkilo (Kunnallisveronalaiset tulot v.1993-95)"",32070"
"091 305 Niemenmaki,""Kunnallisverotuksessa verotettava tulo yhteensa 100 €"",340769"
"091 305 Niemenmaki,""Kunnallisverotuksessa verotettava tulo € / asuntokunta"",44603"
"091 305 Niemenmaki,""Kunnallisverotuksessa verotettava tulo € / henkilo"",26748"
"091 306 Talinranta,""Asuntokunnat"",564"
"091 306 Talinranta,""Henkilot"",1119"
"091 306 Talinranta,""Valtionveronalaiset tulot yhteensa 100 €"",257831"
"091 306 Talinranta,""Valtionveronalaiset tulot € / asuntokunta"",45715"
"091 306 Talinranta,""Valtionveronalaiset tulot € / henkilo"",23041"
"091 306 Talinranta,""Ansiotulot valtionverotuksessa yhteensa 100 € (Kunnallisveronalaiset tulot v.1993-95)"",251539"
"091 306 Talinranta,""Ansiotulot valtionverotuksessa € / asuntokunta (Kunnallisveronalaiset tulot v.1993-95)"",44599"
"091 306 Talinranta,""Ansiotulot valtionverotuksessa € / henkilo (Kunnallisveronalaiset tulot v.1993-95)"",22479"
"091 306 Talinranta,""Kunnallisverotuksessa verotettava tulo yhteensa 100 €"",197435"
"091 306 Talinranta,""Kunnallisverotuksessa verotettava tulo € / asuntokunta"",35006"
"091 306 Talinranta,""Kunnallisverotuksessa verotettava tulo € / henkilo"",17644"
"091 203 Haagan peruspiiri,""Asuntokunnat"",16275"
"091 203 Haagan peruspiiri,""Henkilot"",27114"
"091 203 Haagan peruspiiri,""Valtionveronalaiset tulot yhteensa 100 €"",7504493"
"091 203 Haagan peruspiiri,""Valtionveronalaiset tulot € / asuntokunta"",46111"
"091 203 Haagan peruspiiri,""Valtionveronalaiset tulot € / henkilo"",27678"
"091 203 Haagan peruspiiri,""Ansiotulot valtionverotuksessa yhteensa 100 € (Kunnallisveronalaiset tulot v.1993-95)"",7201645"
"091 203 Haagan peruspiiri,""Ansiotulot valtionverotuksessa € / asuntokunta (Kunnallisveronalaiset tulot v.1993-95)"",44250"
"091 203 Haagan peruspiiri,""Ansiotulot valtionverotuksessa € / henkilo (Kunnallisveronalaiset tulot v.1993-95)"",26561"
"091 203 Haagan peruspiiri,""Kunnallisverotuksessa verotettava tulo yhteensa 100 €"",5834524"
"091 203 Haagan peruspiiri,""Kunnallisverotuksessa verotettava tulo € / asuntokunta"",35850"
"091 203 Haagan peruspiiri,""Kunnallisverotuksessa verotettava tulo € / henkilo"",21518"
"091 291 Etela-Haaga,""Asuntokunnat"",7632"
"091 291 Etela-Haaga,""Henkilot"",12211"
"091 291 Etela-Haaga,""Valtionveronalaiset tulot yhteensa 100 €"",3678276"
"091 291 Etela-Haaga,""Valtionveronalaiset tulot € / asuntokunta"",48195"
"091 291 Etela-Haaga,""Valtionveronalaiset tulot € / henkilo"",30123"
"091 291 Etela-Haaga,""Ansiotulot valtionverotuksessa yhteensa 100 € (Kunnallisveronalaiset tulot v.1993-95)"",3513477"
"091 291 Etela-Haaga,""Ansiotulot valtionverotuksessa € / asuntokunta (Kunnallisveronalaiset tulot v.1993-95)"",46036"
"091 291 Etela-Haaga,""Ansiotulot valtionverotuksessa € / henkilo (Kunnallisveronalaiset tulot v.1993-95)"",28773"
"091 291 Etela-Haaga,""Kunnallisverotuksessa verotettava tulo yhteensa 100 €"",2869658"
"091 291 Etela-Haaga,""Kunnallisverotuksessa verotettava tulo € / asuntokunta"",37600"
"091 291 Etela-Haaga,""Kunnallisverotuksessa verotettava tulo € / henkilo"",23501"
"091 292 Kivihaka,""Asuntokunnat"",567"
"091 292 Kivihaka,""Henkilot"",890"
"091 292 Kivihaka,""Valtionveronalaiset tulot yhteensa 100 €"",269173"
"091 292 Kivihaka,""Valtionveronalaiset tulot € / asuntokunta"",47473"
"091 292 Kivihaka,""Valtionveronalaiset tulot € / henkilo"",30244"
"091 292 Kivihaka,""Ansiotulot valtionverotuksessa yhteensa 100 € (Kunnallisveronalaiset tulot v.1993-95)"",255444"
"091 292 Kivihaka,""Ansiotulot valtionverotuksessa € / asuntokunta (Kunnallisveronalaiset tulot v.1993-95)"",45052"
"091 292 Kivihaka,""Ansiotulot valtionverotuksessa € / henkilo (Kunnallisveronalaiset tulot v.1993-95)"",28702"
"091 292 Kivihaka,""Kunnallisverotuksessa verotettava tulo yhteensa 100 €"",210837"
"091 292 Kivihaka,""Kunnallisverotuksessa verotettava tulo € / asuntokunta"",37185"
"091 292 Kivihaka,""Kunnallisverotuksessa verotettava tulo € / henkilo"",23690"
"091 293 Pohjois-Haaga,""Asuntokunnat"",5504"
"091 293 Pohjois-Haaga,""Henkilot"",9553"
"091 293 Pohjois-Haaga,""Valtionveronalaiset tulot yhteensa 100 €"",2359309"
"091 293 Pohjois-Haaga,""Valtionveronalaiset tulot € / asuntokunta"",42865"
"091 293 Pohjois-Haaga,""Valtionveronalaiset tulot € / henkilo"",24697"
"091 293 Pohjois-Haaga,""Ansiotulot valtionverotuksessa yhteensa 100 € (Kunnallisveronalaiset tulot v.1993-95)"",2284986"
"091 293 Pohjois-Haaga,""Ansiotulot valtionverotuksessa € / asuntokunta (Kunnallisveronalaiset tulot v.1993-95)"",41515"
"091 293 Pohjois-Haaga,""Ansiotulot valtionverotuksessa € / henkilo (Kunnallisveronalaiset tulot v.1993-95)"",23919"
"091 293 Pohjois-Haaga,""Kunnallisverotuksessa verotettava tulo yhteensa 100 €"",1819341"
"091 293 Pohjois-Haaga,""Kunnallisverotuksessa verotettava tulo € / asuntokunta"",33055"
"091 293 Pohjois-Haaga,""Kunnallisverotuksessa verotettava tulo € / henkilo"",19045"
"091 294 Lassila,""Asuntokunnat"",2572"
"091 294 Lassila,""Henkilot"",4460"
"091 294 Lassila,""Valtionveronalaiset tulot yhteensa 100 €"",1197734"
"091 294 Lassila,""Valtionveronalaiset tulot € / asuntokunta"",46568"
"091 294 Lassila,""Valtionveronalaiset tulot € / henkilo"",26855"
"091 294 Lassila,""Ansiotulot valtionverotuksessa yhteensa 100 € (Kunnallisveronalaiset tulot v.1993-95)"",1147738"
"091 294 Lassila,""Ansiotulot valtionverotuksessa € / asuntokunta (Kunnallisveronalaiset tulot v.1993-95)"",44624"
"091 294 Lassila,""Ansiotulot valtionverotuksessa € / henkilo (Kunnallisveronalaiset tulot v.1993-95)"",25734"
"091 294 Lassila,""Kunnallisverotuksessa verotettava tulo yhteensa 100 €"",934688"
"091 294 Lassila,""Kunnallisverotuksessa verotettava tulo € / asuntokunta"",36341"
"091 294 Lassila,""Kunnallisverotuksessa verotettava tulo € / henkilo"",20957"
"091 204 Pitajanmaen peruspiiri,""Asuntokunnat"",9566"
"091 204 Pitajanmaen peruspiiri,""Henkilot"",18033"
"091 204 Pitajanmaen peruspiiri,""Valtionveronalaiset tulot yhteensa 100 €"",4841705"
"091 204 Pitajanmaen peruspiiri,""Valtionveronalaiset tulot € / asuntokunta"",50614"
"091 204 Pitajanmaen peruspiiri,""Valtionveronalaiset tulot € / henkilo"",26849"
"091 204 Pitajanmaen peruspiiri,""Ansiotulot valtionverotuksessa yhteensa 100 € (Kunnallisveronalaiset tulot v.1993-95)"",4637809"
"091 204 Pitajanmaen peruspiiri,""Ansiotulot valtionverotuksessa € / asuntokunta (Kunnallisveronalaiset tulot v.1993-95)"",48482"
"091 204 Pitajanmaen peruspiiri,""Ansiotulot valtionverotuksessa € / henkilo (Kunnallisveronalaiset tulot v.1993-95)"",25718"
"091 204 Pitajanmaen peruspiiri,""Kunnallisverotuksessa verotettava tulo yhteensa 100 €"",3778171"
"091 204 Pitajanmaen peruspiiri,""Kunnallisverotuksessa verotettava tulo € / asuntokunta"",39496"
"091 204 Pitajanmaen peruspiiri,""Kunnallisverotuksessa verotettava tulo € / henkilo"",20951"
"091 320 Konala,""Asuntokunnat"",3288"
"091 320 Konala,""Henkilot"",6293"
"091 320 Konala,""Valtionveronalaiset tulot yhteensa 100 €"",1742636"
"091 320 Konala,""Valtionveronalaiset tulot € / asuntokunta"",53000"
"091 320 Konala,""Valtionveronalaiset tulot € / henkilo"",27692"
"091 320 Konala,""Ansiotulot valtionverotuksessa yhteensa 100 € (Kunnallisveronalaiset tulot v.1993-95)"",1663488"
"091 320 Konala,""Ansiotulot valtionverotuksessa € / asuntokunta (Kunnallisveronalaiset tulot v.1993-95)"",50593"
"091 320 Konala,""Ansiotulot valtionverotuksessa € / henkilo (Kunnallisveronalaiset tulot v.1993-95)"",26434"
"091 320 Konala,""Kunnallisverotuksessa verotettava tulo yhteensa 100 €"",1361733"
"091 320 Konala,""Kunnallisverotuksessa verotettava tulo € / asuntokunta"",41415"
"091 320 Konala,""Kunnallisverotuksessa verotettava tulo € / henkilo"",21639"
"091 461 Pajamaki,""Asuntokunnat"",1119"
"091 461 Pajamaki,""Henkilot"",1825"
"091 461 Pajamaki,""Valtionveronalaiset tulot yhteensa 100 €"",508906"
"091 461 Pajamaki,""Valtionveronalaiset tulot € / asuntokunta"",45479"
"091 461 Pajamaki,""Valtionveronalaiset tulot € / henkilo"",27885"
"091 461 Pajamaki,""Ansiotulot valtionverotuksessa yhteensa 100 € (Kunnallisveronalaiset tulot v.1993-95)"",489806"
"091 461 Pajamaki,""Ansiotulot valtionverotuksessa € / asuntokunta (Kunnallisveronalaiset tulot v.1993-95)"",43772"
"091 461 Pajamaki,""Ansiotulot valtionverotuksessa € / henkilo (Kunnallisveronalaiset tulot v.1993-95)"",26839"
"091 461 Pajamaki,""Kunnallisverotuksessa verotettava tulo yhteensa 100 €"",400134"
"091 461 Pajamaki,""Kunnallisverotuksessa verotettava tulo € / asuntokunta"",35758"
"091 461 Pajamaki,""Kunnallisverotuksessa verotettava tulo € / henkilo"",21925"
"091 462 Tali,""Asuntokunnat"",526"
"091 462 Tali,""Henkilot"",1032"
"091 462 Tali,""Valtionveronalaiset tulot yhteensa 100 €"",218863"
"091 462 Tali,""Valtionveronalaiset tulot € / asuntokunta"",41609"
"091 462 Tali,""Valtionveronalaiset tulot € / henkilo"",21208"
"091 462 Tali,""Ansiotulot valtionverotuksessa yhteensa 100 € (Kunnallisveronalaiset tulot v.1993-95)"",214681"
"091 462 Tali,""Ansiotulot valtionverotuksessa € / asuntokunta (Kunnallisveronalaiset tulot v.1993-95)"",40814"
"091 462 Tali,""Ansiotulot valtionverotuksessa € / henkilo (Kunnallisveronalaiset tulot v.1993-95)"",20802"
"091 462 Tali,""Kunnallisverotuksessa verotettava tulo yhteensa 100 €"",165229"
"091 462 Tali,""Kunnallisverotuksessa verotettava tulo € / asuntokunta"",31412"
"091 462 Tali,""Kunnallisverotuksessa verotettava tulo € / henkilo"",16011"
"091 463 Reimarla,""Asuntokunnat"",2545"
"091 463 Reimarla,""Henkilot"",5019"
"091 463 Reimarla,""Valtionveronalaiset tulot yhteensa 100 €"",1220102"
"091 463 Reimarla,""Valtionveronalaiset tulot € / asuntokunta"",47941"
"091 463 Reimarla,""Valtionveronalaiset tulot € / henkilo"",24310"
"091 463 Reimarla,""Ansiotulot valtionverotuksessa yhteensa 100 € (Kunnallisveronalaiset tulot v.1993-95)"",1167671"
"091 463 Reimarla,""Ansiotulot valtionverotuksessa € / asuntokunta (Kunnallisveronalaiset tulot v.1993-95)"",45881"
"091 463 Reimarla,""Ansiotulot valtionverotuksessa € / henkilo (Kunnallisveronalaiset tulot v.1993-95)"",23265"
"091 463 Reimarla,""Kunnallisverotuksessa verotettava tulo yhteensa 100 €"",941444"
"091 463 Reimarla,""Kunnallisverotuksessa verotettava tulo € / asuntokunta"",36992"
"091 463 Reimarla,""Kunnallisverotuksessa verotettava tulo € / henkilo"",18758"
"091 464 Marttila,""Asuntokunnat"",142"
"091 464 Marttila,""Henkilot"",336"
"091 464 Marttila,""Valtionveronalaiset tulot yhteensa 100 €"",114769"
"091 464 Marttila,""Valtionveronalaiset tulot € / asuntokunta"",80823"
"091 464 Marttila,""Valtionveronalaiset tulot € / henkilo"",34157"
"091 464 Marttila,""Ansiotulot valtionverotuksessa yhteensa 100 € (Kunnallisveronalaiset tulot v.1993-95)"",108662"
"091 464 Marttila,""Ansiotulot valtionverotuksessa € / asuntokunta (Kunnallisveronalaiset tulot v.1993-95)"",76522"
"091 464 Marttila,""Ansiotulot valtionverotuksessa € / henkilo (Kunnallisveronalaiset tulot v.1993-95)"",32340"
"091 464 Marttila,""Kunnallisverotuksessa verotettava tulo yhteensa 100 €"",93388"
"091 464 Marttila,""Kunnallisverotuksessa verotettava tulo € / asuntokunta"",65766"
"091 464 Marttila,""Kunnallisverotuksessa verotettava tulo € / henkilo"",27794"
"091 465 Pitajanmaen yritysalue,""Asuntokunnat"",1946"
"091 465 Pitajanmaen yritysalue,""Henkilot"",3528"
"091 465 Pitajanmaen yritysalue,""Valtionveronalaiset tulot yhteensa 100 €"",1036430"
"091 465 Pitajanmaen yritysalue,""Valtionveronalaiset tulot € / asuntokunta"",53260"
"091 465 Pitajanmaen yritysalue,""Valtionveronalaiset tulot € / henkilo"",29377"
"091 465 Pitajanmaen yritysalue,""Ansiotulot valtionverotuksessa yhteensa 100 € (Kunnallisveronalaiset tulot v.1993-95)"",993501"
"091 465 Pitajanmaen yritysalue,""Ansiotulot valtionverotuksessa € / asuntokunta (Kunnallisveronalaiset tulot v.1993-95)"",51053"
"091 465 Pitajanmaen yritysalue,""Ansiotulot valtionverotuksessa € / henkilo (Kunnallisveronalaiset tulot v.1993-95)"",28160"
"091 465 Pitajanmaen yritysalue,""Kunnallisverotuksessa verotettava tulo yhteensa 100 €"",816243"
"091 465 Pitajanmaen yritysalue,""Kunnallisverotuksessa verotettava tulo € / asuntokunta"",41945"
"091 465 Pitajanmaen yritysalue,""Kunnallisverotuksessa verotettava tulo € / henkilo"",23136"
"091 205 Kaarelan peruspiiri,""Asuntokunnat"",14034"
"091 205 Kaarelan peruspiiri,""Henkilot"",28091"
"091 205 Kaarelan peruspiiri,""Valtionveronalaiset tulot yhteensa 100 €"",6881008"
"091 205 Kaarelan peruspiiri,""Valtionveronalaiset tulot € / asuntokunta"",49031"
"091 205 Kaarelan peruspiiri,""Valtionveronalaiset tulot € / henkilo"",24495"
"091 205 Kaarelan peruspiiri,""Ansiotulot valtionverotuksessa yhteensa 100 € (Kunnallisveronalaiset tulot v.1993-95)"",6573949"
"091 205 Kaarelan peruspiiri,""Ansiotulot valtionverotuksessa € / asuntokunta (Kunnallisveronalaiset tulot v.1993-95)"",46843"
"091 205 Kaarelan peruspiiri,""Ansiotulot valtionverotuksessa € / henkilo (Kunnallisveronalaiset tulot v.1993-95)"",23402"
