"Alue,""Tulotyyppi"",""2017"""
"091 30 Kaartinkaupunki,""Kunnallisverotuksessa verotettava tulo € / asuntokunta"",85654"
"091 30 Kaartinkaupunki,""Kunnallisverotuksessa verotettava tulo € / henkilo"",46382"
"091 50 Punavuori,""Asuntokunnat"",5575"
"091 50 Punavuori,""Henkilot"",9123"
"091 50 Punavuori,""Valtionveronalaiset tulot yhteensa 100 €"",3717780"
"091 50 Punavuori,""Valtionveronalaiset tulot € / asuntokunta"",66687"
"091 50 Punavuori,""Valtionveronalaiset tulot € / henkilo"",40752"
"091 50 Punavuori,""Ansiotulot valtionverotuksessa yhteensa 100 € (Kunnallisveronalaiset tulot v.1993-95)"",3241227"
"091 50 Punavuori,""Ansiotulot valtionverotuksessa € / asuntokunta (Kunnallisveronalaiset tulot v.1993-95)"",58139"
"091 50 Punavuori,""Ansiotulot valtionverotuksessa € / henkilo (Kunnallisveronalaiset tulot v.1993-95)"",35528"
"091 50 Punavuori,""Kunnallisverotuksessa verotettava tulo yhteensa 100 €"",2755472"
"091 50 Punavuori,""Kunnallisverotuksessa verotettava tulo € / asuntokunta"",49426"
"091 50 Punavuori,""Kunnallisverotuksessa verotettava tulo € / henkilo"",30204"
"091 60 Eira,""Asuntokunnat"",578"
"091 60 Eira,""Henkilot"",1133"
"091 60 Eira,""Valtionveronalaiset tulot yhteensa 100 €"",988510"
"091 60 Eira,""Valtionveronalaiset tulot € / asuntokunta"",171023"
"091 60 Eira,""Valtionveronalaiset tulot € / henkilo"",87247"
"091 60 Eira,""Ansiotulot valtionverotuksessa yhteensa 100 € (Kunnallisveronalaiset tulot v.1993-95)"",550772"
"091 60 Eira,""Ansiotulot valtionverotuksessa € / asuntokunta (Kunnallisveronalaiset tulot v.1993-95)"",95289"
"091 60 Eira,""Ansiotulot valtionverotuksessa € / henkilo (Kunnallisveronalaiset tulot v.1993-95)"",48612"
"091 60 Eira,""Kunnallisverotuksessa verotettava tulo yhteensa 100 €"",491333"
"091 60 Eira,""Kunnallisverotuksessa verotettava tulo € / asuntokunta"",85006"
"091 60 Eira,""Kunnallisverotuksessa verotettava tulo € / henkilo"",43366"
"091 70 Ullanlinna,""Asuntokunnat"",6070"
"091 70 Ullanlinna,""Henkilot"",10678"
"091 70 Ullanlinna,""Valtionveronalaiset tulot yhteensa 100 €"",5682141"
"091 70 Ullanlinna,""Valtionveronalaiset tulot € / asuntokunta"",93610"
"091 70 Ullanlinna,""Valtionveronalaiset tulot € / henkilo"",53214"
"091 70 Ullanlinna,""Ansiotulot valtionverotuksessa yhteensa 100 € (Kunnallisveronalaiset tulot v.1993-95)"",4294332"
"091 70 Ullanlinna,""Ansiotulot valtionverotuksessa € / asuntokunta (Kunnallisveronalaiset tulot v.1993-95)"",70747"
"091 70 Ullanlinna,""Ansiotulot valtionverotuksessa € / henkilo (Kunnallisveronalaiset tulot v.1993-95)"",40217"
"091 70 Ullanlinna,""Kunnallisverotuksessa verotettava tulo yhteensa 100 €"",3736582"
"091 70 Ullanlinna,""Kunnallisverotuksessa verotettava tulo € / asuntokunta"",61558"
