"One-person hh, Gender","One-person hh, All ages","One-person hh, Age -19","One-person hh, Age 20-29","One-person hh, Age 30-39","One-person hh, Age 40-49","One-person hh, Age 50-59","One-person hh, Age 60-64","One-person hh, Age 65-69","One-person hh, Age 70-74","One-person hh, Age 75-79","One-person hh, Age 80-84","One-person hh, Age 85","One-person hh, Major district","One-person hh, District"
Women,4985,49,843,640,439.0,728,462,439,449,351,264,321,6 Kaakkoinen suurpiiri,602 Herttoniemi
Men,1860,28,400,396,277.0,268,130,94,87,86,39,55,6 Kaakkoinen suurpiiri,603 Laajasalo
Women,2991,30,463,335,227.0,429,256,328,288,248,182,205,6 Kaakkoinen suurpiiri,603 Laajasalo
Men,2237,31,373,415,344.0,393,204,145,119,85,59,69,7 Itäinen suurpiiri,701 Vartiokylä
Women,2887,34,320,312,205.0,383,257,280,332,247,237,280,7 Itäinen suurpiiri,701 Vartiokylä
Men,1256,8,191,238,204.0,247,112,83,61,47,27,38,7 Itäinen suurpiiri,702 Myllypuro
Women,1569,13,157,117,82.0,237,151,153,159,156,161,183,7 Itäinen suurpiiri,702 Myllypuro
Men,4436,34,667,872,675.0,859,406,296,238,173,114,102,7 Itäinen suurpiiri,703 Mellunkylä
Women,5505,86,623,421,358.0,856,594,571,562,519,452,463,7 Itäinen suurpiiri,703 Mellunkylä
Men,3968,38,592,754,617.0,797,348,254,188,159,113,108,7 Itäinen suurpiiri,704 Vuosaari
Women,5606,49,556,439,426.0,986,544,557,617,518,467,447,7 Itäinen suurpiiri,704 Vuosaari
Men,68,1,2,7,11.0,16,7,6,5,7,3,3,8 Östersundomin suurpiiri,801 Östersundom
Women,45,0,2,2,6.0,10,5,3,4,4,5,4,8 Östersundomin suurpiiri,801 Östersundom
