"Alue,""Perhetyyppi"",""2022"""
"091 130 Etu-Toolo,""Perheet yhteensa"",3761"
"091 130 Etu-Toolo,""Aviopari ilman lapsia"",1321"
"091 130 Etu-Toolo,""Avopari ilman lapsia"",1070"
"091 130 Etu-Toolo,""Aviopari ja lapsia"",805"
"091 130 Etu-Toolo,""Avopari ja lapsia"",215"
"091 130 Etu-Toolo,""aiti ja lapsia"",290"
"091 130 Etu-Toolo,""Isa ja lapsia"",60"
"091 201 Ruoholahti,""Perheet yhteensa"",782"
"091 201 Ruoholahti,""Aviopari ilman lapsia"",198"
"091 201 Ruoholahti,""Avopari ilman lapsia"",181"
"091 201 Ruoholahti,""Aviopari ja lapsia"",195"
"091 201 Ruoholahti,""Avopari ja lapsia"",47"
"091 201 Ruoholahti,""aiti ja lapsia"",142"
"091 201 Ruoholahti,""Isa ja lapsia"",19"
"091 202 Lapinlahti,""Perheet yhteensa"",.."
"091 202 Lapinlahti,""Aviopari ilman lapsia"",.."
"091 202 Lapinlahti,""Avopari ilman lapsia"",.."
"091 202 Lapinlahti,""Aviopari ja lapsia"",.."
"091 202 Lapinlahti,""Avopari ja lapsia"",.."
"091 202 Lapinlahti,""aiti ja lapsia"",.."
"091 202 Lapinlahti,""Isa ja lapsia"",.."
"091 203 Jatkasaari,""Perheet yhteensa"",3879"
"091 203 Jatkasaari,""Aviopari ilman lapsia"",873"
"091 203 Jatkasaari,""Avopari ilman lapsia"",1085"
"091 203 Jatkasaari,""Aviopari ja lapsia"",987"
"091 203 Jatkasaari,""Avopari ja lapsia"",339"
"091 203 Jatkasaari,""aiti ja lapsia"",523"
"091 203 Jatkasaari,""Isa ja lapsia"",72"
"091 104 Taka-Toolon peruspiiri,""Perheet yhteensa"",3615"
"091 104 Taka-Toolon peruspiiri,""Aviopari ilman lapsia"",1173"
"091 104 Taka-Toolon peruspiiri,""Avopari ilman lapsia"",1065"
"091 104 Taka-Toolon peruspiiri,""Aviopari ja lapsia"",722"
"091 104 Taka-Toolon peruspiiri,""Avopari ja lapsia"",277"
"091 104 Taka-Toolon peruspiiri,""aiti ja lapsia"",304"
"091 104 Taka-Toolon peruspiiri,""Isa ja lapsia"",74"
"091 140 Taka-Toolo,""Perheet yhteensa"",3615"
"091 140 Taka-Toolo,""Aviopari ilman lapsia"",1173"
"091 140 Taka-Toolo,""Avopari ilman lapsia"",1065"
"091 140 Taka-Toolo,""Aviopari ja lapsia"",722"
"091 140 Taka-Toolo,""Avopari ja lapsia"",277"
"091 140 Taka-Toolo,""aiti ja lapsia"",304"
"091 140 Taka-Toolo,""Isa ja lapsia"",74"
"091 105 Lauttasaaren peruspiiri,""Perheet yhteensa"",6569"
"091 105 Lauttasaaren peruspiiri,""Aviopari ilman lapsia"",1910"
"091 105 Lauttasaaren peruspiiri,""Avopari ilman lapsia"",1581"
"091 105 Lauttasaaren peruspiiri,""Aviopari ja lapsia"",1751"
"091 105 Lauttasaaren peruspiiri,""Avopari ja lapsia"",614"
"091 105 Lauttasaaren peruspiiri,""aiti ja lapsia"",584"
"091 105 Lauttasaaren peruspiiri,""Isa ja lapsia"",129"
"091 310 Lauttasaari (Ent.),""Perheet yhteensa"",."
"091 310 Lauttasaari (Ent.),""Aviopari ilman lapsia"",."
"091 310 Lauttasaari (Ent.),""Avopari ilman lapsia"",."
"091 310 Lauttasaari (Ent.),""Aviopari ja lapsia"",."
"091 310 Lauttasaari (Ent.),""Avopari ja lapsia"",."
"091 310 Lauttasaari (Ent.),""aiti ja lapsia"",."
"091 310 Lauttasaari (Ent.),""Isa ja lapsia"",."
"091 311 Kotkavuori,""Perheet yhteensa"",2077"
"091 311 Kotkavuori,""Aviopari ilman lapsia"",533"
"091 311 Kotkavuori,""Avopari ilman lapsia"",595"
"091 311 Kotkavuori,""Aviopari ja lapsia"",508"
"091 311 Kotkavuori,""Avopari ja lapsia"",209"
"091 311 Kotkavuori,""aiti ja lapsia"",186"
"091 311 Kotkavuori,""Isa ja lapsia"",46"
"091 312 Vattuniemi,""Perheet yhteensa"",2499"
"091 312 Vattuniemi,""Aviopari ilman lapsia"",836"
"091 312 Vattuniemi,""Avopari ilman lapsia"",533"
"091 312 Vattuniemi,""Aviopari ja lapsia"",672"
"091 312 Vattuniemi,""Avopari ja lapsia"",215"
"091 312 Vattuniemi,""aiti ja lapsia"",208"
"091 312 Vattuniemi,""Isa ja lapsia"",35"
"091 313 Myllykallio,""Perheet yhteensa"",1993"
"091 313 Myllykallio,""Aviopari ilman lapsia"",541"
"091 313 Myllykallio,""Avopari ilman lapsia"",453"
"091 313 Myllykallio,""Aviopari ja lapsia"",571"
"091 313 Myllykallio,""Avopari ja lapsia"",190"
"091 313 Myllykallio,""aiti ja lapsia"",190"
"091 313 Myllykallio,""Isa ja lapsia"",48"
"091 314 Koivusaari,""Perheet yhteensa"",.."
"091 314 Koivusaari,""Aviopari ilman lapsia"",.."
"091 314 Koivusaari,""Avopari ilman lapsia"",.."
"091 314 Koivusaari,""Aviopari ja lapsia"",.."
"091 314 Koivusaari,""Avopari ja lapsia"",.."
"091 314 Koivusaari,""aiti ja lapsia"",.."
"091 314 Koivusaari,""Isa ja lapsia"",.."
"091 201 Reijolan peruspiiri,""Perheet yhteensa"",3807"
"091 201 Reijolan peruspiiri,""Aviopari ilman lapsia"",1038"
"091 201 Reijolan peruspiiri,""Avopari ilman lapsia"",972"
"091 201 Reijolan peruspiiri,""Aviopari ja lapsia"",882"
"091 201 Reijolan peruspiiri,""Avopari ja lapsia"",313"
"091 201 Reijolan peruspiiri,""aiti ja lapsia"",519"
"091 201 Reijolan peruspiiri,""Isa ja lapsia"",83"
"091 150 Meilahti,""Perheet yhteensa"",1104"
"091 150 Meilahti,""Aviopari ilman lapsia"",295"
"091 150 Meilahti,""Avopari ilman lapsia"",339"
"091 150 Meilahti,""Aviopari ja lapsia"",253"
"091 150 Meilahti,""Avopari ja lapsia"",90"
"091 150 Meilahti,""aiti ja lapsia"",105"
"091 150 Meilahti,""Isa ja lapsia"",22"
"091 160 Ruskeasuo (Ent.),""Perheet yhteensa"",."
"091 160 Ruskeasuo (Ent.),""Aviopari ilman lapsia"",."
"091 160 Ruskeasuo (Ent.),""Avopari ilman lapsia"",."
"091 160 Ruskeasuo (Ent.),""Aviopari ja lapsia"",."
"091 160 Ruskeasuo (Ent.),""Avopari ja lapsia"",."
"091 160 Ruskeasuo (Ent.),""aiti ja lapsia"",."
"091 160 Ruskeasuo (Ent.),""Isa ja lapsia"",."
"091 161 Vanha Ruskeasuo,""Perheet yhteensa"",606"
"091 161 Vanha Ruskeasuo,""Aviopari ilman lapsia"",160"
"091 161 Vanha Ruskeasuo,""Avopari ilman lapsia"",186"
"091 161 Vanha Ruskeasuo,""Aviopari ja lapsia"",145"
"091 161 Vanha Ruskeasuo,""Avopari ja lapsia"",46"
"091 161 Vanha Ruskeasuo,""aiti ja lapsia"",60"
"091 161 Vanha Ruskeasuo,""Isa ja lapsia"",9"
"091 162 Pikku Huopalahti,""Perheet yhteensa"",1660"
"091 162 Pikku Huopalahti,""Aviopari ilman lapsia"",444"
"091 162 Pikku Huopalahti,""Avopari ilman lapsia"",314"
"091 162 Pikku Huopalahti,""Aviopari ja lapsia"",393"
"091 162 Pikku Huopalahti,""Avopari ja lapsia"",149"
"091 162 Pikku Huopalahti,""aiti ja lapsia"",321"
"091 162 Pikku Huopalahti,""Isa ja lapsia"",39"
"091 180 Laakso,""Perheet yhteensa"",437"
"091 180 Laakso,""Aviopari ilman lapsia"",139"
"091 180 Laakso,""Avopari ilman lapsia"",133"
"091 180 Laakso,""Aviopari ja lapsia"",91"
"091 180 Laakso,""Avopari ja lapsia"",28"
"091 180 Laakso,""aiti ja lapsia"",33"
"091 180 Laakso,""Isa ja lapsia"",13"
"091 202 Munkkiniemen peruspiiri,""Perheet yhteensa"",4764"
"091 202 Munkkiniemen peruspiiri,""Aviopari ilman lapsia"",1485"
"091 202 Munkkiniemen peruspiiri,""Avopari ilman lapsia"",844"
"091 202 Munkkiniemen peruspiiri,""Aviopari ja lapsia"",1329"
"091 202 Munkkiniemen peruspiiri,""Avopari ja lapsia"",389"
"091 202 Munkkiniemen peruspiiri,""aiti ja lapsia"",625"
"091 202 Munkkiniemen peruspiiri,""Isa ja lapsia"",92"
"091 301 Vanha Munkkiniemi,""Perheet yhteensa"",2408"
"091 301 Vanha Munkkiniemi,""Aviopari ilman lapsia"",820"
"091 301 Vanha Munkkiniemi,""Avopari ilman lapsia"",419"
"091 301 Vanha Munkkiniemi,""Aviopari ja lapsia"",659"
"091 301 Vanha Munkkiniemi,""Avopari ja lapsia"",181"
"091 301 Vanha Munkkiniemi,""aiti ja lapsia"",286"
"091 301 Vanha Munkkiniemi,""Isa ja lapsia"",43"
"091 302 Kuusisaari,""Perheet yhteensa"",181"
"091 302 Kuusisaari,""Aviopari ilman lapsia"",57"
"091 302 Kuusisaari,""Avopari ilman lapsia"",11"
"091 302 Kuusisaari,""Aviopari ja lapsia"",85"
"091 302 Kuusisaari,""Avopari ja lapsia"",12"
"091 302 Kuusisaari,""aiti ja lapsia"",10"
"091 302 Kuusisaari,""Isa ja lapsia"",6"
"091 303 Lehtisaari,""Perheet yhteensa"",356"
"091 303 Lehtisaari,""Aviopari ilman lapsia"",124"
"091 303 Lehtisaari,""Avopari ilman lapsia"",52"
"091 303 Lehtisaari,""Aviopari ja lapsia"",110"
"091 303 Lehtisaari,""Avopari ja lapsia"",28"
"091 303 Lehtisaari,""aiti ja lapsia"",34"
"091 303 Lehtisaari,""Isa ja lapsia"",8"
"091 304 Munkkivuori,""Perheet yhteensa"",1150"
"091 304 Munkkivuori,""Aviopari ilman lapsia"",307"
"091 304 Munkkivuori,""Avopari ilman lapsia"",227"
"091 304 Munkkivuori,""Aviopari ja lapsia"",308"
"091 304 Munkkivuori,""Avopari ja lapsia"",98"
"091 304 Munkkivuori,""aiti ja lapsia"",189"
"091 304 Munkkivuori,""Isa ja lapsia"",21"
"091 305 Niemenmaki,""Perheet yhteensa"",406"
"091 305 Niemenmaki,""Aviopari ilman lapsia"",102"
"091 305 Niemenmaki,""Avopari ilman lapsia"",93"
"091 305 Niemenmaki,""Aviopari ja lapsia"",104"
"091 305 Niemenmaki,""Avopari ja lapsia"",47"
"091 305 Niemenmaki,""aiti ja lapsia"",53"
"091 305 Niemenmaki,""Isa ja lapsia"",7"
"091 306 Talinranta,""Perheet yhteensa"",263"
"091 306 Talinranta,""Aviopari ilman lapsia"",75"
"091 306 Talinranta,""Avopari ilman lapsia"",42"
"091 306 Talinranta,""Aviopari ja lapsia"",63"
"091 306 Talinranta,""Avopari ja lapsia"",23"
"091 306 Talinranta,""aiti ja lapsia"",53"
"091 306 Talinranta,""Isa ja lapsia"",7"
"091 203 Haagan peruspiiri,""Perheet yhteensa"",5841"
"091 203 Haagan peruspiiri,""Aviopari ilman lapsia"",1595"
"091 203 Haagan peruspiiri,""Avopari ilman lapsia"",1512"
"091 203 Haagan peruspiiri,""Aviopari ja lapsia"",1381"
"091 203 Haagan peruspiiri,""Avopari ja lapsia"",514"
"091 203 Haagan peruspiiri,""aiti ja lapsia"",739"
"091 203 Haagan peruspiiri,""Isa ja lapsia"",100"
"091 291 Etela-Haaga,""Perheet yhteensa"",2588"
"091 291 Etela-Haaga,""Aviopari ilman lapsia"",639"
"091 291 Etela-Haaga,""Avopari ilman lapsia"",741"
"091 291 Etela-Haaga,""Aviopari ja lapsia"",657"
"091 291 Etela-Haaga,""Avopari ja lapsia"",244"
"091 291 Etela-Haaga,""aiti ja lapsia"",266"
"091 291 Etela-Haaga,""Isa ja lapsia"",41"
"091 292 Kivihaka,""Perheet yhteensa"",174"
"091 292 Kivihaka,""Aviopari ilman lapsia"",62"
"091 292 Kivihaka,""Avopari ilman lapsia"",44"
"091 292 Kivihaka,""Aviopari ja lapsia"",32"
"091 292 Kivihaka,""Avopari ja lapsia"",19"
"091 292 Kivihaka,""aiti ja lapsia"",15"
"091 292 Kivihaka,""Isa ja lapsia"",2"
"091 293 Pohjois-Haaga,""Perheet yhteensa"",2027"
"091 293 Pohjois-Haaga,""Aviopari ilman lapsia"",576"
"091 293 Pohjois-Haaga,""Avopari ilman lapsia"",493"
"091 293 Pohjois-Haaga,""Aviopari ja lapsia"",453"
"091 293 Pohjois-Haaga,""Avopari ja lapsia"",158"
"091 293 Pohjois-Haaga,""aiti ja lapsia"",311"
"091 293 Pohjois-Haaga,""Isa ja lapsia"",36"
"091 294 Lassila,""Perheet yhteensa"",1052"
"091 294 Lassila,""Aviopari ilman lapsia"",318"
"091 294 Lassila,""Avopari ilman lapsia"",234"
"091 294 Lassila,""Aviopari ja lapsia"",239"
"091 294 Lassila,""Avopari ja lapsia"",93"
"091 294 Lassila,""aiti ja lapsia"",147"
"091 294 Lassila,""Isa ja lapsia"",21"
"091 204 Pitajanmaen peruspiiri,""Perheet yhteensa"",4544"
