"Alue,""Perhetyyppi"",""2022"""
"091 111 Siltasaari,""aiti ja lapsia"",36"
"091 111 Siltasaari,""Isa ja lapsia"",6"
"091 112 Linjat,""Perheet yhteensa"",1559"
"091 112 Linjat,""Aviopari ilman lapsia"",419"
"091 112 Linjat,""Avopari ilman lapsia"",663"
"091 112 Linjat,""Aviopari ja lapsia"",201"
"091 112 Linjat,""Avopari ja lapsia"",110"
"091 112 Linjat,""aiti ja lapsia"",138"
"091 112 Linjat,""Isa ja lapsia"",28"
"091 113 Torkkelinmaki,""Perheet yhteensa"",1009"
"091 113 Torkkelinmaki,""Aviopari ilman lapsia"",226"
"091 113 Torkkelinmaki,""Avopari ilman lapsia"",566"
"091 113 Torkkelinmaki,""Aviopari ja lapsia"",78"
"091 113 Torkkelinmaki,""Avopari ja lapsia"",60"
"091 113 Torkkelinmaki,""aiti ja lapsia"",64"
"091 113 Torkkelinmaki,""Isa ja lapsia"",15"
"091 302 Alppiharjun peruspiiri,""Perheet yhteensa"",1873"
"091 302 Alppiharjun peruspiiri,""Aviopari ilman lapsia"",469"
"091 302 Alppiharjun peruspiiri,""Avopari ilman lapsia"",909"
"091 302 Alppiharjun peruspiiri,""Aviopari ja lapsia"",196"
"091 302 Alppiharjun peruspiiri,""Avopari ja lapsia"",125"
"091 302 Alppiharjun peruspiiri,""aiti ja lapsia"",146"
"091 302 Alppiharjun peruspiiri,""Isa ja lapsia"",28"
"091 121 Harju,""Perheet yhteensa"",1096"
"091 121 Harju,""Aviopari ilman lapsia"",275"
"091 121 Harju,""Avopari ilman lapsia"",549"
"091 121 Harju,""Aviopari ja lapsia"",109"
"091 121 Harju,""Avopari ja lapsia"",66"
"091 121 Harju,""aiti ja lapsia"",80"
"091 121 Harju,""Isa ja lapsia"",17"
"091 122 Alppila,""Perheet yhteensa"",777"
"091 122 Alppila,""Aviopari ilman lapsia"",194"
"091 122 Alppila,""Avopari ilman lapsia"",360"
"091 122 Alppila,""Aviopari ja lapsia"",87"
"091 122 Alppila,""Avopari ja lapsia"",59"
"091 122 Alppila,""aiti ja lapsia"",66"
"091 122 Alppila,""Isa ja lapsia"",11"
"091 303 Vallilan peruspiiri,""Perheet yhteensa"",3824"
"091 303 Vallilan peruspiiri,""Aviopari ilman lapsia"",870"
"091 303 Vallilan peruspiiri,""Avopari ilman lapsia"",1452"
"091 303 Vallilan peruspiiri,""Aviopari ja lapsia"",659"
"091 303 Vallilan peruspiiri,""Avopari ja lapsia"",355"
"091 303 Vallilan peruspiiri,""aiti ja lapsia"",411"
"091 303 Vallilan peruspiiri,""Isa ja lapsia"",77"
"091 210 Hermanni (Ent.),""Perheet yhteensa"",."
"091 210 Hermanni (Ent.),""Aviopari ilman lapsia"",."
"091 210 Hermanni (Ent.),""Avopari ilman lapsia"",."
"091 210 Hermanni (Ent.),""Aviopari ja lapsia"",."
"091 210 Hermanni (Ent.),""Avopari ja lapsia"",."
"091 210 Hermanni (Ent.),""aiti ja lapsia"",."
"091 210 Hermanni (Ent.),""Isa ja lapsia"",."
"091 211 Hermanninmaki,""Perheet yhteensa"",1397"
"091 211 Hermanninmaki,""Aviopari ilman lapsia"",341"
"091 211 Hermanninmaki,""Avopari ilman lapsia"",467"
"091 211 Hermanninmaki,""Aviopari ja lapsia"",258"
"091 211 Hermanninmaki,""Avopari ja lapsia"",126"
"091 211 Hermanninmaki,""aiti ja lapsia"",176"
"091 211 Hermanninmaki,""Isa ja lapsia"",29"
"091 212 Hermanninranta,""Perheet yhteensa"",.."
"091 212 Hermanninranta,""Aviopari ilman lapsia"",.."
"091 212 Hermanninranta,""Avopari ilman lapsia"",.."
"091 212 Hermanninranta,""Aviopari ja lapsia"",.."
"091 212 Hermanninranta,""Avopari ja lapsia"",.."
"091 212 Hermanninranta,""aiti ja lapsia"",.."
"091 212 Hermanninranta,""Isa ja lapsia"",.."
"091 213 Kylasaari,""Perheet yhteensa"",.."
"091 213 Kylasaari,""Aviopari ilman lapsia"",.."
"091 213 Kylasaari,""Avopari ilman lapsia"",.."
"091 213 Kylasaari,""Aviopari ja lapsia"",.."
"091 213 Kylasaari,""Avopari ja lapsia"",.."
"091 213 Kylasaari,""aiti ja lapsia"",.."
"091 213 Kylasaari,""Isa ja lapsia"",.."
"091 220 Vallila,""Perheet yhteensa"",2398"
"091 220 Vallila,""Aviopari ilman lapsia"",527"
"091 220 Vallila,""Avopari ilman lapsia"",958"
"091 220 Vallila,""Aviopari ja lapsia"",401"
"091 220 Vallila,""Avopari ja lapsia"",229"
"091 220 Vallila,""aiti ja lapsia"",235"
"091 220 Vallila,""Isa ja lapsia"",48"
"091 304 Pasilan peruspiiri,""Perheet yhteensa"",3110"
"091 304 Pasilan peruspiiri,""Aviopari ilman lapsia"",853"
"091 304 Pasilan peruspiiri,""Avopari ilman lapsia"",1032"
"091 304 Pasilan peruspiiri,""Aviopari ja lapsia"",561"
"091 304 Pasilan peruspiiri,""Avopari ja lapsia"",259"
"091 304 Pasilan peruspiiri,""aiti ja lapsia"",350"
"091 304 Pasilan peruspiiri,""Isa ja lapsia"",55"
"091 171 Lansi-Pasila,""Perheet yhteensa"",1373"
"091 171 Lansi-Pasila,""Aviopari ilman lapsia"",441"
"091 171 Lansi-Pasila,""Avopari ilman lapsia"",367"
"091 171 Lansi-Pasila,""Aviopari ja lapsia"",267"
"091 171 Lansi-Pasila,""Avopari ja lapsia"",118"
"091 171 Lansi-Pasila,""aiti ja lapsia"",157"
"091 171 Lansi-Pasila,""Isa ja lapsia"",23"
"091 172 Pohjois-Pasila,""Perheet yhteensa"",529"
"091 172 Pohjois-Pasila,""Aviopari ilman lapsia"",111"
"091 172 Pohjois-Pasila,""Avopari ilman lapsia"",188"
"091 172 Pohjois-Pasila,""Aviopari ja lapsia"",99"
"091 172 Pohjois-Pasila,""Avopari ja lapsia"",61"
"091 172 Pohjois-Pasila,""aiti ja lapsia"",62"
"091 172 Pohjois-Pasila,""Isa ja lapsia"",8"
"091 173 Ita-Pasila,""Perheet yhteensa"",786"
"091 173 Ita-Pasila,""Aviopari ilman lapsia"",203"
"091 173 Ita-Pasila,""Avopari ilman lapsia"",266"
"091 173 Ita-Pasila,""Aviopari ja lapsia"",136"
"091 173 Ita-Pasila,""Avopari ja lapsia"",61"
"091 173 Ita-Pasila,""aiti ja lapsia"",98"
"091 173 Ita-Pasila,""Isa ja lapsia"",22"
"091 174 Keski-Pasila,""Perheet yhteensa"",422"
"091 174 Keski-Pasila,""Aviopari ilman lapsia"",98"
"091 174 Keski-Pasila,""Avopari ilman lapsia"",211"
"091 174 Keski-Pasila,""Aviopari ja lapsia"",59"
"091 174 Keski-Pasila,""Avopari ja lapsia"",19"
"091 174 Keski-Pasila,""aiti ja lapsia"",33"
"091 174 Keski-Pasila,""Isa ja lapsia"",2"
"091 305 Vanhankaupungin peruspiiri,""Perheet yhteensa"",6250"
"091 305 Vanhankaupungin peruspiiri,""Aviopari ilman lapsia"",1530"
"091 305 Vanhankaupungin peruspiiri,""Avopari ilman lapsia"",1594"
"091 305 Vanhankaupungin peruspiiri,""Aviopari ja lapsia"",1473"
"091 305 Vanhankaupungin peruspiiri,""Avopari ja lapsia"",677"
"091 305 Vanhankaupungin peruspiiri,""aiti ja lapsia"",849"
"091 305 Vanhankaupungin peruspiiri,""Isa ja lapsia"",127"
"091 231 Toukola,""Perheet yhteensa"",338"
"091 231 Toukola,""Aviopari ilman lapsia"",88"
"091 231 Toukola,""Avopari ilman lapsia"",93"
"091 231 Toukola,""Aviopari ja lapsia"",70"
"091 231 Toukola,""Avopari ja lapsia"",43"
"091 231 Toukola,""aiti ja lapsia"",40"
"091 231 Toukola,""Isa ja lapsia"",4"
"091 232 Arabianranta,""Perheet yhteensa"",1982"
"091 232 Arabianranta,""Aviopari ilman lapsia"",505"
"091 232 Arabianranta,""Avopari ilman lapsia"",514"
"091 232 Arabianranta,""Aviopari ja lapsia"",517"
"091 232 Arabianranta,""Avopari ja lapsia"",198"
"091 232 Arabianranta,""aiti ja lapsia"",218"
"091 232 Arabianranta,""Isa ja lapsia"",30"
"091 240 Kumpula,""Perheet yhteensa"",949"
"091 240 Kumpula,""Aviopari ilman lapsia"",223"
"091 240 Kumpula,""Avopari ilman lapsia"",305"
"091 240 Kumpula,""Aviopari ja lapsia"",184"
"091 240 Kumpula,""Avopari ja lapsia"",91"
"091 240 Kumpula,""aiti ja lapsia"",126"
"091 240 Kumpula,""Isa ja lapsia"",20"
"091 250 Kapyla,""Perheet yhteensa"",1945"
"091 250 Kapyla,""Aviopari ilman lapsia"",486"
"091 250 Kapyla,""Avopari ilman lapsia"",449"
"091 250 Kapyla,""Aviopari ja lapsia"",433"
"091 250 Kapyla,""Avopari ja lapsia"",235"
"091 250 Kapyla,""aiti ja lapsia"",300"
"091 250 Kapyla,""Isa ja lapsia"",42"
"091 260 Koskela,""Perheet yhteensa"",851"
"091 260 Koskela,""Aviopari ilman lapsia"",201"
"091 260 Koskela,""Avopari ilman lapsia"",183"
"091 260 Koskela,""Aviopari ja lapsia"",214"
"091 260 Koskela,""Avopari ja lapsia"",88"
"091 260 Koskela,""aiti ja lapsia"",139"
"091 260 Koskela,""Isa ja lapsia"",26"
"091 270 Vanhakaupunki,""Perheet yhteensa"",185"
"091 270 Vanhakaupunki,""Aviopari ilman lapsia"",27"
"091 270 Vanhakaupunki,""Avopari ilman lapsia"",50"
"091 270 Vanhakaupunki,""Aviopari ja lapsia"",55"
"091 270 Vanhakaupunki,""Avopari ja lapsia"",22"
"091 270 Vanhakaupunki,""aiti ja lapsia"",26"
"091 270 Vanhakaupunki,""Isa ja lapsia"",5"
"091 401 Maunulan peruspiiri,""Perheet yhteensa"",2069"
"091 401 Maunulan peruspiiri,""Aviopari ilman lapsia"",554"
"091 401 Maunulan peruspiiri,""Avopari ilman lapsia"",364"
"091 401 Maunulan peruspiiri,""Aviopari ja lapsia"",563"
"091 401 Maunulan peruspiiri,""Avopari ja lapsia"",207"
"091 401 Maunulan peruspiiri,""aiti ja lapsia"",324"
"091 401 Maunulan peruspiiri,""Isa ja lapsia"",57"
"091 281 Pirkkola,""Perheet yhteensa"",157"
"091 281 Pirkkola,""Aviopari ilman lapsia"",69"
"091 281 Pirkkola,""Avopari ilman lapsia"",19"
"091 281 Pirkkola,""Aviopari ja lapsia"",43"
"091 281 Pirkkola,""Avopari ja lapsia"",13"
"091 281 Pirkkola,""aiti ja lapsia"",12"
"091 281 Pirkkola,""Isa ja lapsia"",1"
"091 282 Maunula,""Perheet yhteensa"",1595"
"091 282 Maunula,""Aviopari ilman lapsia"",401"
"091 282 Maunula,""Avopari ilman lapsia"",303"
"091 282 Maunula,""Aviopari ja lapsia"",403"
"091 282 Maunula,""Avopari ja lapsia"",149"
"091 282 Maunula,""aiti ja lapsia"",286"
"091 282 Maunula,""Isa ja lapsia"",53"
"091 283 Metsala,""Perheet yhteensa"",317"
"091 283 Metsala,""Aviopari ilman lapsia"",84"
"091 283 Metsala,""Avopari ilman lapsia"",42"
"091 283 Metsala,""Aviopari ja lapsia"",117"
"091 283 Metsala,""Avopari ja lapsia"",45"
"091 283 Metsala,""aiti ja lapsia"",26"
"091 283 Metsala,""Isa ja lapsia"",3"
"091 286 Maunulanpuisto,""Perheet yhteensa"",.."
"091 286 Maunulanpuisto,""Aviopari ilman lapsia"",.."
"091 286 Maunulanpuisto,""Avopari ilman lapsia"",.."
"091 286 Maunulanpuisto,""Aviopari ja lapsia"",.."
"091 286 Maunulanpuisto,""Avopari ja lapsia"",.."
"091 286 Maunulanpuisto,""aiti ja lapsia"",.."
"091 286 Maunulanpuisto,""Isa ja lapsia"",.."
"091 402 Lansi-Pakilan peruspiiri,""Perheet yhteensa"",2104"
"091 402 Lansi-Pakilan peruspiiri,""Aviopari ilman lapsia"",732"
"091 402 Lansi-Pakilan peruspiiri,""Avopari ilman lapsia"",180"
"091 402 Lansi-Pakilan peruspiiri,""Aviopari ja lapsia"",772"
"091 402 Lansi-Pakilan peruspiiri,""Avopari ja lapsia"",222"
"091 402 Lansi-Pakilan peruspiiri,""aiti ja lapsia"",152"
"091 402 Lansi-Pakilan peruspiiri,""Isa ja lapsia"",46"
"091 341 Lansi-Pakila,""Perheet yhteensa"",2104"
"091 341 Lansi-Pakila,""Aviopari ilman lapsia"",732"
"091 341 Lansi-Pakila,""Avopari ilman lapsia"",180"
"091 341 Lansi-Pakila,""Aviopari ja lapsia"",772"
"091 341 Lansi-Pakila,""Avopari ja lapsia"",222"
"091 341 Lansi-Pakila,""aiti ja lapsia"",152"
"091 341 Lansi-Pakila,""Isa ja lapsia"",46"
"091 403 Tuomarinkylan peruspiiri,""Perheet yhteensa"",2676"
"091 403 Tuomarinkylan peruspiiri,""Aviopari ilman lapsia"",879"
"091 403 Tuomarinkylan peruspiiri,""Avopari ilman lapsia"",227"
"091 403 Tuomarinkylan peruspiiri,""Aviopari ja lapsia"",997"
"091 403 Tuomarinkylan peruspiiri,""Avopari ja lapsia"",259"
"091 403 Tuomarinkylan peruspiiri,""aiti ja lapsia"",262"
"091 403 Tuomarinkylan peruspiiri,""Isa ja lapsia"",52"
"091 351 Paloheina,""Perheet yhteensa"",1845"
"091 351 Paloheina,""Aviopari ilman lapsia"",644"
"091 351 Paloheina,""Avopari ilman lapsia"",155"
"091 351 Paloheina,""Aviopari ja lapsia"",674"
"091 351 Paloheina,""Avopari ja lapsia"",180"
"091 351 Paloheina,""aiti ja lapsia"",155"
"091 351 Paloheina,""Isa ja lapsia"",37"
"091 352 Torpparinmaki,""Perheet yhteensa"",829"
"091 352 Torpparinmaki,""Aviopari ilman lapsia"",234"
"091 352 Torpparinmaki,""Avopari ilman lapsia"",72"
"091 352 Torpparinmaki,""Aviopari ja lapsia"",323"
"091 352 Torpparinmaki,""Avopari ja lapsia"",79"
"091 352 Torpparinmaki,""aiti ja lapsia"",106"
"091 352 Torpparinmaki,""Isa ja lapsia"",15"
"091 354 Haltiala,""Perheet yhteensa"",.."
"091 354 Haltiala,""Aviopari ilman lapsia"",.."
"091 354 Haltiala,""Avopari ilman lapsia"",.."
"091 354 Haltiala,""Aviopari ja lapsia"",.."
"091 354 Haltiala,""Avopari ja lapsia"",.."
"091 354 Haltiala,""aiti ja lapsia"",.."
"091 354 Haltiala,""Isa ja lapsia"",.."
"091 404 Oulunkylan peruspiiri,""Perheet yhteensa"",3811"
"091 404 Oulunkylan peruspiiri,""Aviopari ilman lapsia"",1087"
"091 404 Oulunkylan peruspiiri,""Avopari ilman lapsia"",708"
"091 404 Oulunkylan peruspiiri,""Aviopari ja lapsia"",1058"
"091 404 Oulunkylan peruspiiri,""Avopari ja lapsia"",354"
"091 404 Oulunkylan peruspiiri,""aiti ja lapsia"",505"
"091 404 Oulunkylan peruspiiri,""Isa ja lapsia"",99"
"091 284 Patola,""Perheet yhteensa"",2655"
"091 284 Patola,""Aviopari ilman lapsia"",790"
"091 284 Patola,""Avopari ilman lapsia"",486"
"091 284 Patola,""Aviopari ja lapsia"",715"
"091 284 Patola,""Avopari ja lapsia"",248"
"091 284 Patola,""aiti ja lapsia"",349"
"091 284 Patola,""Isa ja lapsia"",67"
"091 285 Verajamaki,""Perheet yhteensa"",856"
"091 285 Verajamaki,""Aviopari ilman lapsia"",237"
"091 285 Verajamaki,""Avopari ilman lapsia"",159"
"091 285 Verajamaki,""Aviopari ja lapsia"",271"
"091 285 Verajamaki,""Avopari ja lapsia"",76"
"091 285 Verajamaki,""aiti ja lapsia"",88"
"091 285 Verajamaki,""Isa ja lapsia"",25"
"091 287 Verajalaakso,""Perheet yhteensa"",300"
"091 287 Verajalaakso,""Aviopari ilman lapsia"",60"
"091 287 Verajalaakso,""Avopari ilman lapsia"",63"
"091 287 Verajalaakso,""Aviopari ja lapsia"",72"
"091 287 Verajalaakso,""Avopari ja lapsia"",30"
"091 287 Verajalaakso,""aiti ja lapsia"",68"
"091 287 Verajalaakso,""Isa ja lapsia"",7"
"091 405 Ita-Pakilan peruspiiri,""Perheet yhteensa"",1106"
"091 405 Ita-Pakilan peruspiiri,""Aviopari ilman lapsia"",349"
"091 405 Ita-Pakilan peruspiiri,""Avopari ilman lapsia"",117"
"091 405 Ita-Pakilan peruspiiri,""Aviopari ja lapsia"",406"
"091 405 Ita-Pakilan peruspiiri,""Avopari ja lapsia"",112"
"091 405 Ita-Pakilan peruspiiri,""aiti ja lapsia"",96"
"091 405 Ita-Pakilan peruspiiri,""Isa ja lapsia"",26"
"091 342 Ita-Pakila,""Perheet yhteensa"",1025"
"091 342 Ita-Pakila,""Aviopari ilman lapsia"",335"
"091 342 Ita-Pakila,""Avopari ilman lapsia"",111"
"091 342 Ita-Pakila,""Aviopari ja lapsia"",373"
"091 342 Ita-Pakila,""Avopari ja lapsia"",97"
"091 342 Ita-Pakila,""aiti ja lapsia"",84"
"091 342 Ita-Pakila,""Isa ja lapsia"",25"
"091 353 Tuomarinkartano,""Perheet yhteensa"",.."
"091 353 Tuomarinkartano,""Aviopari ilman lapsia"",.."
"091 353 Tuomarinkartano,""Avopari ilman lapsia"",.."
"091 353 Tuomarinkartano,""Aviopari ja lapsia"",.."
"091 353 Tuomarinkartano,""Avopari ja lapsia"",.."
"091 353 Tuomarinkartano,""aiti ja lapsia"",.."
"091 353 Tuomarinkartano,""Isa ja lapsia"",.."
"091 501 Latokartanon peruspiiri,""Perheet yhteensa"",6120"
"091 501 Latokartanon peruspiiri,""Aviopari ilman lapsia"",1507"
"091 501 Latokartanon peruspiiri,""Avopari ilman lapsia"",1244"
"091 501 Latokartanon peruspiiri,""Aviopari ja lapsia"",1645"
"091 501 Latokartanon peruspiiri,""Avopari ja lapsia"",534"
"091 501 Latokartanon peruspiiri,""aiti ja lapsia"",1049"
"091 501 Latokartanon peruspiiri,""Isa ja lapsia"",141"
"091 361 Viikinranta,""Perheet yhteensa"",397"
"091 361 Viikinranta,""Aviopari ilman lapsia"",130"
"091 361 Viikinranta,""Avopari ilman lapsia"",89"
"091 361 Viikinranta,""Aviopari ja lapsia"",94"
"091 361 Viikinranta,""Avopari ja lapsia"",51"
"091 361 Viikinranta,""aiti ja lapsia"",24"
"091 361 Viikinranta,""Isa ja lapsia"",9"
"091 362 Latokartano,""Perheet yhteensa"",2367"
"091 362 Latokartano,""Aviopari ilman lapsia"",437"
"091 362 Latokartano,""Avopari ilman lapsia"",422"
"091 362 Latokartano,""Aviopari ja lapsia"",789"
"091 362 Latokartano,""Avopari ja lapsia"",233"
"091 362 Latokartano,""aiti ja lapsia"",431"
"091 362 Latokartano,""Isa ja lapsia"",55"
"091 363 Viikin tiedepuisto,""Perheet yhteensa"",220"
"091 363 Viikin tiedepuisto,""Aviopari ilman lapsia"",40"
"091 363 Viikin tiedepuisto,""Avopari ilman lapsia"",116"
"091 363 Viikin tiedepuisto,""Aviopari ja lapsia"",38"
"091 363 Viikin tiedepuisto,""Avopari ja lapsia"",9"
"091 363 Viikin tiedepuisto,""aiti ja lapsia"",14"
"091 363 Viikin tiedepuisto,""Isa ja lapsia"",3"
"091 364 Viikinmaki,""Perheet yhteensa"",821"
"091 364 Viikinmaki,""Aviopari ilman lapsia"",203"
"091 364 Viikinmaki,""Avopari ilman lapsia"",164"
"091 364 Viikinmaki,""Aviopari ja lapsia"",201"
"091 364 Viikinmaki,""Avopari ja lapsia"",86"
"091 364 Viikinmaki,""aiti ja lapsia"",151"
"091 364 Viikinmaki,""Isa ja lapsia"",16"
"091 383 Pihlajamaki,""Perheet yhteensa"",1736"
"091 383 Pihlajamaki,""Aviopari ilman lapsia"",513"
"091 383 Pihlajamaki,""Avopari ilman lapsia"",362"
"091 383 Pihlajamaki,""Aviopari ja lapsia"",376"
"091 383 Pihlajamaki,""Avopari ja lapsia"",123"
"091 383 Pihlajamaki,""aiti ja lapsia"",320"
"091 383 Pihlajamaki,""Isa ja lapsia"",42"
"091 386 Pihlajisto,""Perheet yhteensa"",579"
"091 386 Pihlajisto,""Aviopari ilman lapsia"",184"
"091 386 Pihlajisto,""Avopari ilman lapsia"",91"
"091 386 Pihlajisto,""Aviopari ja lapsia"",147"
"091 386 Pihlajisto,""Avopari ja lapsia"",32"
"091 386 Pihlajisto,""aiti ja lapsia"",109"
"091 386 Pihlajisto,""Isa ja lapsia"",16"
"091 502 Pukinmaen peruspiiri,""Perheet yhteensa"",2091"
"091 502 Pukinmaen peruspiiri,""Aviopari ilman lapsia"",652"
"091 502 Pukinmaen peruspiiri,""Avopari ilman lapsia"",398"
"091 502 Pukinmaen peruspiiri,""Aviopari ja lapsia"",477"
"091 502 Pukinmaen peruspiiri,""Avopari ja lapsia"",159"
"091 502 Pukinmaen peruspiiri,""aiti ja lapsia"",366"
"091 502 Pukinmaen peruspiiri,""Isa ja lapsia"",39"
"091 370 Pukinmaki,""Perheet yhteensa"",2091"
"091 370 Pukinmaki,""Aviopari ilman lapsia"",652"
"091 370 Pukinmaki,""Avopari ilman lapsia"",398"
"091 370 Pukinmaki,""Aviopari ja lapsia"",477"
"091 370 Pukinmaki,""Avopari ja lapsia"",159"
"091 370 Pukinmaki,""aiti ja lapsia"",366"
"091 370 Pukinmaki,""Isa ja lapsia"",39"
"091 503 Malmin peruspiiri,""Perheet yhteensa"",7698"
"091 503 Malmin peruspiiri,""Aviopari ilman lapsia"",2405"
"091 503 Malmin peruspiiri,""Avopari ilman lapsia"",1129"
"091 503 Malmin peruspiiri,""Aviopari ja lapsia"",2179"
"091 503 Malmin peruspiiri,""Avopari ja lapsia"",680"
"091 503 Malmin peruspiiri,""aiti ja lapsia"",1120"
"091 503 Malmin peruspiiri,""Isa ja lapsia"",185"
"091 381 Yla-Malmi,""Perheet yhteensa"",1368"
"091 381 Yla-Malmi,""Aviopari ilman lapsia"",379"
"091 381 Yla-Malmi,""Avopari ilman lapsia"",255"
"091 381 Yla-Malmi,""Aviopari ja lapsia"",318"
"091 381 Yla-Malmi,""Avopari ja lapsia"",88"
"091 381 Yla-Malmi,""aiti ja lapsia"",287"
"091 381 Yla-Malmi,""Isa ja lapsia"",41"
"091 382 Ala-Malmi,""Perheet yhteensa"",1655"
"091 382 Ala-Malmi,""Aviopari ilman lapsia"",451"
"091 382 Ala-Malmi,""Avopari ilman lapsia"",263"
"091 382 Ala-Malmi,""Aviopari ja lapsia"",466"
"091 382 Ala-Malmi,""Avopari ja lapsia"",140"
"091 382 Ala-Malmi,""aiti ja lapsia"",292"
"091 382 Ala-Malmi,""Isa ja lapsia"",43"
"091 384 Tattariharju,""Perheet yhteensa"",.."
"091 384 Tattariharju,""Aviopari ilman lapsia"",.."
"091 384 Tattariharju,""Avopari ilman lapsia"",.."
"091 384 Tattariharju,""Aviopari ja lapsia"",.."
"091 384 Tattariharju,""Avopari ja lapsia"",.."
"091 384 Tattariharju,""aiti ja lapsia"",.."
"091 384 Tattariharju,""Isa ja lapsia"",.."
"091 385 Malmin lentokentta,""Perheet yhteensa"",602"
"091 385 Malmin lentokentta,""Aviopari ilman lapsia"",181"
"091 385 Malmin lentokentta,""Avopari ilman lapsia"",67"
"091 385 Malmin lentokentta,""Aviopari ja lapsia"",187"
"091 385 Malmin lentokentta,""Avopari ja lapsia"",60"
"091 385 Malmin lentokentta,""aiti ja lapsia"",92"
"091 385 Malmin lentokentta,""Isa ja lapsia"",15"
"091 391 Tapaninvainio,""Perheet yhteensa"",2420"
"091 391 Tapaninvainio,""Aviopari ilman lapsia"",903"
"091 391 Tapaninvainio,""Avopari ilman lapsia"",293"
"091 391 Tapaninvainio,""Aviopari ja lapsia"",721"
"091 391 Tapaninvainio,""Avopari ja lapsia"",247"
"091 391 Tapaninvainio,""aiti ja lapsia"",202"
"091 391 Tapaninvainio,""Isa ja lapsia"",54"
"091 392 Tapanila,""Perheet yhteensa"",1652"
"091 392 Tapanila,""Aviopari ilman lapsia"",491"
"091 392 Tapanila,""Avopari ilman lapsia"",251"
"091 392 Tapanila,""Aviopari ja lapsia"",486"
"091 392 Tapanila,""Avopari ja lapsia"",145"
"091 392 Tapanila,""aiti ja lapsia"",247"
"091 392 Tapanila,""Isa ja lapsia"",32"
"091 504 Suutarilan peruspiiri,""Perheet yhteensa"",3277"
"091 504 Suutarilan peruspiiri,""Aviopari ilman lapsia"",1054"
"091 504 Suutarilan peruspiiri,""Avopari ilman lapsia"",420"
"091 504 Suutarilan peruspiiri,""Aviopari ja lapsia"",998"
"091 504 Suutarilan peruspiiri,""Avopari ja lapsia"",283"
"091 504 Suutarilan peruspiiri,""aiti ja lapsia"",442"
"091 504 Suutarilan peruspiiri,""Isa ja lapsia"",80"
"091 401 Siltamaki,""Perheet yhteensa"",2230"
"091 401 Siltamaki,""Aviopari ilman lapsia"",706"
"091 401 Siltamaki,""Avopari ilman lapsia"",317"
"091 401 Siltamaki,""Aviopari ja lapsia"",646"
"091 401 Siltamaki,""Avopari ja lapsia"",199"
"091 401 Siltamaki,""aiti ja lapsia"",308"
"091 401 Siltamaki,""Isa ja lapsia"",54"
"091 403 Toyrynummi,""Perheet yhteensa"",1047"
"091 403 Toyrynummi,""Aviopari ilman lapsia"",348"
"091 403 Toyrynummi,""Avopari ilman lapsia"",103"
"091 403 Toyrynummi,""Aviopari ja lapsia"",352"
"091 403 Toyrynummi,""Avopari ja lapsia"",84"
"091 403 Toyrynummi,""aiti ja lapsia"",134"
"091 403 Toyrynummi,""Isa ja lapsia"",26"
"091 505 Puistolan peruspiiri,""Perheet yhteensa"",5609"
"091 505 Puistolan peruspiiri,""Aviopari ilman lapsia"",1759"
"091 505 Puistolan peruspiiri,""Avopari ilman lapsia"",714"
"091 505 Puistolan peruspiiri,""Aviopari ja lapsia"",1801"
"091 505 Puistolan peruspiiri,""Avopari ja lapsia"",510"
"091 505 Puistolan peruspiiri,""aiti ja lapsia"",700"
"091 505 Puistolan peruspiiri,""Isa ja lapsia"",125"
"091 402 Tapulikaupunki,""Perheet yhteensa"",2243"
"091 402 Tapulikaupunki,""Aviopari ilman lapsia"",673"
"091 402 Tapulikaupunki,""Avopari ilman lapsia"",327"
"091 402 Tapulikaupunki,""Aviopari ja lapsia"",653"
"091 402 Tapulikaupunki,""Avopari ja lapsia"",183"
"091 402 Tapulikaupunki,""aiti ja lapsia"",347"
"091 402 Tapulikaupunki,""Isa ja lapsia"",60"
"091 411 Puistola,""Perheet yhteensa"",2025"
"091 411 Puistola,""Aviopari ilman lapsia"",719"
"091 411 Puistola,""Avopari ilman lapsia"",216"
"091 411 Puistola,""Aviopari ja lapsia"",675"
"091 411 Puistola,""Avopari ja lapsia"",183"
"091 411 Puistola,""aiti ja lapsia"",197"
"091 411 Puistola,""Isa ja lapsia"",35"
"091 412 Heikinlaakso,""Perheet yhteensa"",864"
"091 412 Heikinlaakso,""Aviopari ilman lapsia"",265"
"091 412 Heikinlaakso,""Avopari ilman lapsia"",85"
"091 412 Heikinlaakso,""Aviopari ja lapsia"",330"
"091 412 Heikinlaakso,""Avopari ja lapsia"",83"
"091 412 Heikinlaakso,""aiti ja lapsia"",85"
"091 412 Heikinlaakso,""Isa ja lapsia"",16"
"091 413 Tattarisuo,""Perheet yhteensa"",.."
"091 413 Tattarisuo,""Aviopari ilman lapsia"",.."
"091 413 Tattarisuo,""Avopari ilman lapsia"",.."
"091 413 Tattarisuo,""Aviopari ja lapsia"",.."
"091 413 Tattarisuo,""Avopari ja lapsia"",.."
"091 413 Tattarisuo,""aiti ja lapsia"",.."
"091 413 Tattarisuo,""Isa ja lapsia"",.."
"091 415 Alppikyla,""Perheet yhteensa"",477"
"091 415 Alppikyla,""Aviopari ilman lapsia"",102"
"091 415 Alppikyla,""Avopari ilman lapsia"",86"
"091 415 Alppikyla,""Aviopari ja lapsia"",143"
"091 415 Alppikyla,""Avopari ja lapsia"",61"
