"Alue,""Paaasiallinen toiminta"",""Sukupuoli"",""Vaesto yhteensa 2021"",""15-64-vuotiaat yhteensa 2021"",""0-14-vuotiaat 2021"",""15-29-vuotiaat 2021"",""30-44-vuotiaat 2021"",""45-59-vuotiaat 2021"",""Yli 60-vuotiaat 2021"""
"091 291 Etela-Haaga,""0-14-vuotiaat"",""Yhteensa"",1468,0,1468,0,0,0,0"
"091 291 Etela-Haaga,""0-14-vuotiaat"",""Miehet"",744,0,744,0,0,0,0"
"091 291 Etela-Haaga,""0-14-vuotiaat"",""Naiset"",724,0,724,0,0,0,0"
"091 291 Etela-Haaga,""Opiskelijat, koululaiset, varus- ja siviilipalvelu"",""Yhteensa"",1022,1019,0,857,137,23,-1"
"091 291 Etela-Haaga,""Opiskelijat, koululaiset, varus- ja siviilipalvelu"",""Miehet"",466,-1,0,-1,61,-1,-1"
"091 291 Etela-Haaga,""Opiskelijat, koululaiset, varus- ja siviilipalvelu"",""Naiset"",556,-1,0,468,76,-1,-1"
"091 291 Etela-Haaga,""Elakelaiset ja muut"",""Yhteensa"",2618,727,0,169,227,182,2040"
"091 291 Etela-Haaga,""Elakelaiset ja muut"",""Miehet"",1058,-1,0,-1,107,108,-1"
"091 291 Etela-Haaga,""Elakelaiset ja muut"",""Naiset"",1560,-1,0,-1,120,74,-1"
"091 292 Kivihaka,""Koko vaesto"",""Yhteensa"",859,614,81,148,271,149,210"
"091 292 Kivihaka,""Koko vaesto"",""Miehet"",371,268,42,62,118,70,79"
"091 292 Kivihaka,""Koko vaesto"",""Naiset"",488,346,39,86,153,79,131"
"091 292 Kivihaka,""Tyovoima"",""Yhteensa"",537,527,0,112,244,138,43"
"091 292 Kivihaka,""Tyovoima"",""Miehet"",235,-1,0,-1,106,63,-1"
"091 292 Kivihaka,""Tyovoima"",""Naiset"",302,-1,0,-1,138,75,-1"
"091 292 Kivihaka,""Tyolliset"",""Yhteensa"",483,473,0,105,222,117,39"
"091 292 Kivihaka,""Tyolliset"",""Miehet"",203,-1,0,-1,94,52,-1"
"091 292 Kivihaka,""Tyolliset"",""Naiset"",280,-1,0,-1,128,65,-1"
"091 292 Kivihaka,""Tyottomat"",""Yhteensa"",54,54,0,-1,22,21,-1"
"091 292 Kivihaka,""Tyottomat"",""Miehet"",32,-1,0,-1,-1,-1,-1"
"091 292 Kivihaka,""Tyottomat"",""Naiset"",22,-1,0,-1,-1,-1,-1"
"091 292 Kivihaka,""Tyovoiman ulkopuolella olevat"",""Yhteensa"",322,87,81,36,27,11,167"
"091 292 Kivihaka,""Tyovoiman ulkopuolella olevat"",""Miehet"",136,-1,42,-1,-1,-1,60"
"091 292 Kivihaka,""Tyovoiman ulkopuolella olevat"",""Naiset"",186,-1,39,-1,-1,-1,107"
"091 292 Kivihaka,""0-14-vuotiaat"",""Yhteensa"",81,0,81,0,0,0,0"
"091 292 Kivihaka,""0-14-vuotiaat"",""Miehet"",42,0,42,0,0,0,0"
"091 292 Kivihaka,""0-14-vuotiaat"",""Naiset"",39,0,39,0,0,0,0"
"091 292 Kivihaka,""Opiskelijat, koululaiset, varus- ja siviilipalvelu"",""Yhteensa"",45,45,0,34,10,-1,0"
"091 292 Kivihaka,""Opiskelijat, koululaiset, varus- ja siviilipalvelu"",""Miehet"",17,-1,0,-1,-1,-1,0"
"091 292 Kivihaka,""Opiskelijat, koululaiset, varus- ja siviilipalvelu"",""Naiset"",28,-1,0,-1,-1,0,0"
"091 292 Kivihaka,""Elakelaiset ja muut"",""Yhteensa"",196,42,0,-1,17,10,167"
"091 292 Kivihaka,""Elakelaiset ja muut"",""Miehet"",77,-1,0,-1,-1,-1,-1"
"091 292 Kivihaka,""Elakelaiset ja muut"",""Naiset"",119,-1,0,-1,-1,-1,107"
"091 293 Pohjois-Haaga,""Koko vaesto"",""Yhteensa"",9439,6467,1117,1864,2659,1511,2288"
"091 293 Pohjois-Haaga,""Koko vaesto"",""Miehet"",4499,3250,592,883,1426,746,852"
"091 293 Pohjois-Haaga,""Koko vaesto"",""Naiset"",4940,3217,525,981,1233,765,1436"
"091 293 Pohjois-Haaga,""Tyovoima"",""Yhteensa"",4977,4917,0,1150,2139,1312,376"
"091 293 Pohjois-Haaga,""Tyovoima"",""Miehet"",2505,2475,0,537,1165,635,-1"
"091 293 Pohjois-Haaga,""Tyovoima"",""Naiset"",2472,2442,0,613,974,677,-1"
"091 293 Pohjois-Haaga,""Tyolliset"",""Yhteensa"",4372,4312,0,1028,1899,1131,314"
"091 293 Pohjois-Haaga,""Tyolliset"",""Miehet"",2127,2097,0,459,1012,527,-1"
"091 293 Pohjois-Haaga,""Tyolliset"",""Naiset"",2245,2215,0,569,887,604,-1"
"091 293 Pohjois-Haaga,""Tyottomat"",""Yhteensa"",605,605,0,122,240,181,62"
"091 293 Pohjois-Haaga,""Tyottomat"",""Miehet"",378,378,0,78,153,108,39"
"091 293 Pohjois-Haaga,""Tyottomat"",""Naiset"",227,227,0,44,87,73,23"
"091 293 Pohjois-Haaga,""Tyovoiman ulkopuolella olevat"",""Yhteensa"",4462,1550,1117,714,520,199,1912"
"091 293 Pohjois-Haaga,""Tyovoiman ulkopuolella olevat"",""Miehet"",1994,775,592,346,261,111,684"
"091 293 Pohjois-Haaga,""Tyovoiman ulkopuolella olevat"",""Naiset"",2468,775,525,368,259,88,1228"
"091 293 Pohjois-Haaga,""0-14-vuotiaat"",""Yhteensa"",1117,0,1117,0,0,0,0"
"091 293 Pohjois-Haaga,""0-14-vuotiaat"",""Miehet"",592,0,592,0,0,0,0"
"091 293 Pohjois-Haaga,""0-14-vuotiaat"",""Naiset"",525,0,525,0,0,0,0"
"091 293 Pohjois-Haaga,""Opiskelijat, koululaiset, varus- ja siviilipalvelu"",""Yhteensa"",744,740,0,568,143,27,-1"
"091 293 Pohjois-Haaga,""Opiskelijat, koululaiset, varus- ja siviilipalvelu"",""Miehet"",352,-1,0,-1,70,-1,-1"
"091 293 Pohjois-Haaga,""Opiskelijat, koululaiset, varus- ja siviilipalvelu"",""Naiset"",392,-1,0,-1,73,-1,-1"
"091 293 Pohjois-Haaga,""Elakelaiset ja muut"",""Yhteensa"",2601,810,0,146,377,172,1906"
"091 293 Pohjois-Haaga,""Elakelaiset ja muut"",""Miehet"",1050,-1,0,-1,191,98,-1"
"091 293 Pohjois-Haaga,""Elakelaiset ja muut"",""Naiset"",1551,-1,0,-1,186,74,-1"
"091 294 Lassila,""Koko vaesto"",""Yhteensa"",4700,2910,599,904,1205,585,1407"
"091 294 Lassila,""Koko vaesto"",""Miehet"",2190,1451,317,427,622,302,522"
"091 294 Lassila,""Koko vaesto"",""Naiset"",2510,1459,282,477,583,283,885"
"091 294 Lassila,""Tyovoima"",""Yhteensa"",2270,2241,0,531,1015,526,198"
"091 294 Lassila,""Tyovoima"",""Miehet"",1145,1129,0,238,548,268,-1"
"091 294 Lassila,""Tyovoima"",""Naiset"",1125,1112,0,293,467,258,107"
"091 294 Lassila,""Tyolliset"",""Yhteensa"",2023,1994,0,487,913,453,170"
"091 294 Lassila,""Tyolliset"",""Miehet"",1011,995,0,212,494,228,-1"
"091 294 Lassila,""Tyolliset"",""Naiset"",1012,999,0,275,419,225,93"
"091 294 Lassila,""Tyottomat"",""Yhteensa"",247,247,0,44,102,73,28"
"091 294 Lassila,""Tyottomat"",""Miehet"",134,134,0,26,54,40,14"
"091 294 Lassila,""Tyottomat"",""Naiset"",113,-1,0,-1,48,33,14"
"091 294 Lassila,""Tyovoiman ulkopuolella olevat"",""Yhteensa"",2430,669,599,373,190,59,1209"
"091 294 Lassila,""Tyovoiman ulkopuolella olevat"",""Miehet"",1045,322,317,189,74,34,431"
"091 294 Lassila,""Tyovoiman ulkopuolella olevat"",""Naiset"",1385,347,282,184,116,25,778"
"091 294 Lassila,""0-14-vuotiaat"",""Yhteensa"",599,0,599,0,0,0,0"
"091 294 Lassila,""0-14-vuotiaat"",""Miehet"",317,0,317,0,0,0,0"
"091 294 Lassila,""0-14-vuotiaat"",""Naiset"",282,0,282,0,0,0,0"
"091 294 Lassila,""Opiskelijat, koululaiset, varus- ja siviilipalvelu"",""Yhteensa"",390,-1,0,-1,72,14,-1"
"091 294 Lassila,""Opiskelijat, koululaiset, varus- ja siviilipalvelu"",""Miehet"",-1,-1,0,-1,-1,-1,0"
"091 294 Lassila,""Opiskelijat, koululaiset, varus- ja siviilipalvelu"",""Naiset"",206,-1,0,155,-1,-1,-1"
"091 294 Lassila,""Elakelaiset ja muut"",""Yhteensa"",1441,280,0,70,118,45,1208"
"091 294 Lassila,""Elakelaiset ja muut"",""Miehet"",544,-1,0,-1,-1,-1,-1"
"091 294 Lassila,""Elakelaiset ja muut"",""Naiset"",897,-1,0,-1,-1,-1,-1"
"091 204 Pitajanmaen peruspiiri,""Koko vaesto"",""Yhteensa"",18322,12424,2631,3409,4627,3322,4333"
"091 204 Pitajanmaen peruspiiri,""Koko vaesto"",""Miehet"",8996,6346,1358,1744,2448,1666,1780"
"091 204 Pitajanmaen peruspiiri,""Koko vaesto"",""Naiset"",9326,6078,1273,1665,2179,1656,2553"
"091 204 Pitajanmaen peruspiiri,""Tyovoima"",""Yhteensa"",9735,9618,0,1971,3925,2944,895"
"091 204 Pitajanmaen peruspiiri,""Tyovoima"",""Miehet"",4977,4922,0,985,2148,1452,-1"
"091 204 Pitajanmaen peruspiiri,""Tyovoima"",""Naiset"",4758,4696,0,986,1777,1492,-1"
"091 204 Pitajanmaen peruspiiri,""Tyolliset"",""Yhteensa"",8613,8496,0,1767,3501,2596,749"
"091 204 Pitajanmaen peruspiiri,""Tyolliset"",""Miehet"",4374,4319,0,883,1919,1251,-1"
"091 204 Pitajanmaen peruspiiri,""Tyolliset"",""Naiset"",4239,4177,0,884,1582,1345,-1"
"091 204 Pitajanmaen peruspiiri,""Tyottomat"",""Yhteensa"",1122,1122,0,204,424,348,146"
"091 204 Pitajanmaen peruspiiri,""Tyottomat"",""Miehet"",603,603,0,102,229,201,71"
"091 204 Pitajanmaen peruspiiri,""Tyottomat"",""Naiset"",519,519,0,102,195,147,75"
"091 204 Pitajanmaen peruspiiri,""Tyovoiman ulkopuolella olevat"",""Yhteensa"",8587,2806,2631,1438,702,378,3438"
"091 204 Pitajanmaen peruspiiri,""Tyovoiman ulkopuolella olevat"",""Miehet"",4019,1424,1358,759,300,214,1388"
"091 204 Pitajanmaen peruspiiri,""Tyovoiman ulkopuolella olevat"",""Naiset"",4568,1382,1273,679,402,164,2050"
"091 204 Pitajanmaen peruspiiri,""0-14-vuotiaat"",""Yhteensa"",2631,0,2631,0,0,0,0"
"091 204 Pitajanmaen peruspiiri,""0-14-vuotiaat"",""Miehet"",1358,0,1358,0,0,0,0"
"091 204 Pitajanmaen peruspiiri,""0-14-vuotiaat"",""Naiset"",1273,0,1273,0,0,0,0"
"091 204 Pitajanmaen peruspiiri,""Opiskelijat, koululaiset, varus- ja siviilipalvelu"",""Yhteensa"",1464,1458,0,1144,265,43,12"
"091 204 Pitajanmaen peruspiiri,""Opiskelijat, koululaiset, varus- ja siviilipalvelu"",""Miehet"",714,-1,0,-1,85,-1,-1"
"091 204 Pitajanmaen peruspiiri,""Opiskelijat, koululaiset, varus- ja siviilipalvelu"",""Naiset"",750,-1,0,-1,180,-1,-1"
"091 204 Pitajanmaen peruspiiri,""Elakelaiset ja muut"",""Yhteensa"",4492,1348,0,294,437,335,3426"
"091 204 Pitajanmaen peruspiiri,""Elakelaiset ja muut"",""Miehet"",1947,-1,0,-1,215,195,-1"
"091 204 Pitajanmaen peruspiiri,""Elakelaiset ja muut"",""Naiset"",2545,-1,0,-1,222,140,-1"
"091 320 Konala,""Koko vaesto"",""Yhteensa"",6536,4372,982,1148,1644,1184,1578"
"091 320 Konala,""Koko vaesto"",""Miehet"",3233,2251,482,602,869,598,682"
"091 320 Konala,""Koko vaesto"",""Naiset"",3303,2121,500,546,775,586,896"
"091 320 Konala,""Tyovoima"",""Yhteensa"",3398,3361,0,628,1395,1059,316"
"091 320 Konala,""Tyovoima"",""Miehet"",1736,1714,0,308,760,522,-1"
"091 320 Konala,""Tyovoima"",""Naiset"",1662,1647,0,320,635,537,170"
"091 320 Konala,""Tyolliset"",""Yhteensa"",3006,2969,0,550,1230,957,269"
"091 320 Konala,""Tyolliset"",""Miehet"",1513,1491,0,271,659,463,-1"
"091 320 Konala,""Tyolliset"",""Naiset"",1493,1478,0,279,571,494,149"
"091 320 Konala,""Tyottomat"",""Yhteensa"",392,392,0,78,165,102,47"
"091 320 Konala,""Tyottomat"",""Miehet"",223,-1,0,-1,101,59,26"
"091 320 Konala,""Tyottomat"",""Naiset"",169,-1,0,-1,64,43,21"
"091 320 Konala,""Tyovoiman ulkopuolella olevat"",""Yhteensa"",3138,1011,982,520,249,125,1262"
"091 320 Konala,""Tyovoiman ulkopuolella olevat"",""Miehet"",1497,537,482,294,109,76,536"
"091 320 Konala,""Tyovoiman ulkopuolella olevat"",""Naiset"",1641,474,500,226,140,49,726"
"091 320 Konala,""0-14-vuotiaat"",""Yhteensa"",982,0,982,0,0,0,0"
"091 320 Konala,""0-14-vuotiaat"",""Miehet"",482,0,482,0,0,0,0"
"091 320 Konala,""0-14-vuotiaat"",""Naiset"",500,0,500,0,0,0,0"
"091 320 Konala,""Opiskelijat, koululaiset, varus- ja siviilipalvelu"",""Yhteensa"",513,513,0,408,90,14,-1"
"091 320 Konala,""Opiskelijat, koululaiset, varus- ja siviilipalvelu"",""Miehet"",266,-1,0,-1,30,-1,0"
"091 320 Konala,""Opiskelijat, koululaiset, varus- ja siviilipalvelu"",""Naiset"",247,-1,0,180,60,-1,-1"
"091 320 Konala,""Elakelaiset ja muut"",""Yhteensa"",1643,498,0,112,159,111,1261"
"091 320 Konala,""Elakelaiset ja muut"",""Miehet"",749,-1,0,-1,79,68,-1"
"091 320 Konala,""Elakelaiset ja muut"",""Naiset"",894,-1,0,-1,80,43,-1"
"091 461 Pajamaki,""Koko vaesto"",""Yhteensa"",1855,1276,243,333,544,286,449"
"091 461 Pajamaki,""Koko vaesto"",""Miehet"",874,618,132,158,266,139,179"
"091 461 Pajamaki,""Koko vaesto"",""Naiset"",981,658,111,175,278,147,270"
"091 461 Pajamaki,""Tyovoima"",""Yhteensa"",1015,1007,0,212,459,251,93"
"091 461 Pajamaki,""Tyovoima"",""Miehet"",487,-1,0,-1,231,117,-1"
"091 461 Pajamaki,""Tyovoima"",""Naiset"",528,-1,0,-1,228,134,-1"
"091 461 Pajamaki,""Tyolliset"",""Yhteensa"",905,897,0,190,418,219,78"
"091 461 Pajamaki,""Tyolliset"",""Miehet"",424,-1,0,-1,212,94,-1"
"091 461 Pajamaki,""Tyolliset"",""Naiset"",481,-1,0,-1,206,125,-1"
"091 461 Pajamaki,""Tyottomat"",""Yhteensa"",110,110,0,22,41,32,15"
"091 461 Pajamaki,""Tyottomat"",""Miehet"",63,-1,0,-1,-1,-1,13"
"091 461 Pajamaki,""Tyottomat"",""Naiset"",47,-1,0,-1,-1,-1,-1"
"091 461 Pajamaki,""Tyovoiman ulkopuolella olevat"",""Yhteensa"",840,269,243,121,85,35,356"
"091 461 Pajamaki,""Tyovoiman ulkopuolella olevat"",""Miehet"",387,-1,132,60,35,-1,138"
"091 461 Pajamaki,""Tyovoiman ulkopuolella olevat"",""Naiset"",453,-1,111,61,50,-1,218"
"091 461 Pajamaki,""0-14-vuotiaat"",""Yhteensa"",243,0,243,0,0,0,0"
"091 461 Pajamaki,""0-14-vuotiaat"",""Miehet"",132,0,132,0,0,0,0"
"091 461 Pajamaki,""0-14-vuotiaat"",""Naiset"",111,0,111,0,0,0,0"
"091 461 Pajamaki,""Opiskelijat, koululaiset, varus- ja siviilipalvelu"",""Yhteensa"",141,-1,0,-1,33,-1,-1"
"091 461 Pajamaki,""Opiskelijat, koululaiset, varus- ja siviilipalvelu"",""Miehet"",-1,-1,0,-1,-1,-1,-1"
"091 461 Pajamaki,""Opiskelijat, koululaiset, varus- ja siviilipalvelu"",""Naiset"",73,-1,0,49,-1,-1,0"
"091 461 Pajamaki,""Elakelaiset ja muut"",""Yhteensa"",456,131,0,27,52,27,350"
"091 461 Pajamaki,""Elakelaiset ja muut"",""Miehet"",187,-1,0,-1,-1,-1,-1"
"091 461 Pajamaki,""Elakelaiset ja muut"",""Naiset"",269,-1,0,-1,-1,-1,-1"
"091 462 Tali,""Koko vaesto"",""Yhteensa"",968,664,177,185,217,191,198"
"091 462 Tali,""Koko vaesto"",""Miehet"",456,324,87,90,109,95,75"
"091 462 Tali,""Koko vaesto"",""Naiset"",512,340,90,95,108,96,123"
"091 462 Tali,""Tyovoima"",""Yhteensa"",486,479,0,93,178,161,54"
"091 462 Tali,""Tyovoima"",""Miehet"",251,246,0,52,98,79,-1"
"091 462 Tali,""Tyovoima"",""Naiset"",235,-1,0,-1,80,82,-1"
"091 462 Tali,""Tyolliset"",""Yhteensa"",397,390,0,78,147,131,41"
"091 462 Tali,""Tyolliset"",""Miehet"",207,202,0,44,82,63,-1"
"091 462 Tali,""Tyolliset"",""Naiset"",190,-1,0,-1,65,68,-1"
"091 462 Tali,""Tyottomat"",""Yhteensa"",89,89,0,15,31,30,13"
"091 462 Tali,""Tyottomat"",""Miehet"",44,-1,0,-1,-1,-1,-1"
"091 462 Tali,""Tyottomat"",""Naiset"",45,-1,0,-1,-1,-1,-1"
"091 462 Tali,""Tyovoiman ulkopuolella olevat"",""Yhteensa"",482,185,177,92,39,30,144"
"091 462 Tali,""Tyovoiman ulkopuolella olevat"",""Miehet"",205,-1,87,38,-1,-1,-1"
"091 462 Tali,""Tyovoiman ulkopuolella olevat"",""Naiset"",277,-1,90,54,-1,-1,91"
"091 462 Tali,""0-14-vuotiaat"",""Yhteensa"",177,0,177,0,0,0,0"
"091 462 Tali,""0-14-vuotiaat"",""Miehet"",87,0,87,0,0,0,0"
"091 462 Tali,""0-14-vuotiaat"",""Naiset"",90,0,90,0,0,0,0"
"091 462 Tali,""Opiskelijat, koululaiset, varus- ja siviilipalvelu"",""Yhteensa"",109,-1,0,-1,23,-1,0"
"091 462 Tali,""Opiskelijat, koululaiset, varus- ja siviilipalvelu"",""Miehet"",-1,-1,0,-1,-1,-1,0"
"091 462 Tali,""Opiskelijat, koululaiset, varus- ja siviilipalvelu"",""Naiset"",68,-1,0,47,-1,-1,0"
"091 462 Tali,""Elakelaiset ja muut"",""Yhteensa"",196,76,0,11,16,25,144"
"091 462 Tali,""Elakelaiset ja muut"",""Miehet"",77,-1,0,-1,-1,-1,-1"
"091 462 Tali,""Elakelaiset ja muut"",""Naiset"",119,-1,0,-1,-1,-1,-1"
"091 463 Reimarla,""Koko vaesto"",""Yhteensa"",4826,3202,701,1030,1122,810,1163"
"091 463 Reimarla,""Koko vaesto"",""Miehet"",2322,1614,370,513,589,406,444"
"091 463 Reimarla,""Koko vaesto"",""Naiset"",2504,1588,331,517,533,404,719"
"091 463 Reimarla,""Tyovoima"",""Yhteensa"",2476,2442,0,592,939,726,219"
"091 463 Reimarla,""Tyovoima"",""Miehet"",1254,1239,0,289,510,361,-1"
"091 463 Reimarla,""Tyovoima"",""Naiset"",1222,1203,0,303,429,365,-1"
"091 463 Reimarla,""Tyolliset"",""Yhteensa"",2196,2162,0,530,845,641,180"
"091 463 Reimarla,""Tyolliset"",""Miehet"",1114,1099,0,254,466,318,-1"
"091 463 Reimarla,""Tyolliset"",""Naiset"",1082,1063,0,276,379,323,-1"
"091 463 Reimarla,""Tyottomat"",""Yhteensa"",280,280,0,62,94,85,39"
"091 463 Reimarla,""Tyottomat"",""Miehet"",140,-1,0,-1,44,43,18"
"091 463 Reimarla,""Tyottomat"",""Naiset"",140,-1,0,-1,50,42,21"
"091 463 Reimarla,""Tyovoiman ulkopuolella olevat"",""Yhteensa"",2350,760,701,438,183,84,944"
"091 463 Reimarla,""Tyovoiman ulkopuolella olevat"",""Miehet"",1068,375,370,224,79,45,350"
"091 463 Reimarla,""Tyovoiman ulkopuolella olevat"",""Naiset"",1282,385,331,214,104,39,594"
"091 463 Reimarla,""0-14-vuotiaat"",""Yhteensa"",701,0,701,0,0,0,0"
"091 463 Reimarla,""0-14-vuotiaat"",""Miehet"",370,0,370,0,0,0,0"
"091 463 Reimarla,""0-14-vuotiaat"",""Naiset"",331,0,331,0,0,0,0"
"091 463 Reimarla,""Opiskelijat, koululaiset, varus- ja siviilipalvelu"",""Yhteensa"",430,-1,0,-1,72,-1,-1"
"091 463 Reimarla,""Opiskelijat, koululaiset, varus- ja siviilipalvelu"",""Miehet"",-1,-1,0,-1,23,-1,0"
"091 463 Reimarla,""Opiskelijat, koululaiset, varus- ja siviilipalvelu"",""Naiset"",-1,-1,0,-1,49,-1,-1"
"091 463 Reimarla,""Elakelaiset ja muut"",""Yhteensa"",1219,331,0,89,111,78,941"
"091 463 Reimarla,""Elakelaiset ja muut"",""Miehet"",489,-1,0,-1,-1,-1,-1"
"091 463 Reimarla,""Elakelaiset ja muut"",""Naiset"",730,-1,0,-1,-1,-1,-1"
"091 464 Marttila,""Koko vaesto"",""Yhteensa"",310,183,44,41,59,60,106"
"091 464 Marttila,""Koko vaesto"",""Miehet"",160,-1,27,-1,30,29,50"
"091 464 Marttila,""Koko vaesto"",""Naiset"",150,-1,17,-1,29,31,56"
"091 464 Marttila,""Tyovoima"",""Yhteensa"",149,-1,0,-1,51,57,25"
"091 464 Marttila,""Tyovoima"",""Miehet"",73,-1,0,-1,-1,-1,-1"
"091 464 Marttila,""Tyovoima"",""Naiset"",76,-1,0,-1,-1,-1,-1"
"091 464 Marttila,""Tyolliset"",""Yhteensa"",139,-1,0,-1,46,56,23"
"091 464 Marttila,""Tyolliset"",""Miehet"",69,-1,0,-1,-1,-1,-1"
"091 464 Marttila,""Tyolliset"",""Naiset"",70,-1,0,-1,-1,-1,-1"
"091 464 Marttila,""Tyottomat"",""Yhteensa"",10,-1,0,-1,-1,-1,-1"
"091 464 Marttila,""Tyottomat"",""Miehet"",-1,-1,0,-1,-1,-1,0"
"091 464 Marttila,""Tyottomat"",""Naiset"",-1,-1,0,0,-1,0,-1"
"091 464 Marttila,""Tyovoiman ulkopuolella olevat"",""Yhteensa"",161,-1,44,-1,-1,-1,81"
"091 464 Marttila,""Tyovoiman ulkopuolella olevat"",""Miehet"",87,-1,18,-1,-1,-1,-1"
"091 464 Marttila,""Tyovoiman ulkopuolella olevat"",""Naiset"",74,-1,10,-1,-1,-1,-1"
"091 464 Marttila,""0-14-vuotiaat"",""Yhteensa"",44,0,44,0,0,0,0"
"091 464 Marttila,""0-14-vuotiaat"",""Miehet"",27,0,18,0,0,0,0"
"091 464 Marttila,""0-14-vuotiaat"",""Naiset"",17,0,10,0,0,0,0"
"091 464 Marttila,""Opiskelijat, koululaiset, varus- ja siviilipalvelu"",""Yhteensa"",22,-1,0,-1,-1,0,0"
"091 464 Marttila,""Opiskelijat, koululaiset, varus- ja siviilipalvelu"",""Miehet"",-1,-1,0,-1,-1,0,0"
"091 464 Marttila,""Opiskelijat, koululaiset, varus- ja siviilipalvelu"",""Naiset"",-1,-1,0,-1,0,0,0"
"091 464 Marttila,""Elakelaiset ja muut"",""Yhteensa"",95,-1,0,-1,-1,-1,81"
"091 464 Marttila,""Elakelaiset ja muut"",""Miehet"",46,-1,0,-1,-1,-1,-1"
"091 464 Marttila,""Elakelaiset ja muut"",""Naiset"",49,-1,0,-1,-1,-1,-1"
"091 465 Pitajanmaen yritysalue,""Koko vaesto"",""Yhteensa"",3827,2727,484,672,1041,791,839"
"091 465 Pitajanmaen yritysalue,""Koko vaesto"",""Miehet"",1951,1445,260,357,585,399,350"
"091 465 Pitajanmaen yritysalue,""Koko vaesto"",""Naiset"",1876,1282,224,315,456,392,489"
"091 465 Pitajanmaen yritysalue,""Tyovoima"",""Yhteensa"",2211,2185,0,430,903,690,188"
"091 465 Pitajanmaen yritysalue,""Tyovoima"",""Miehet"",1176,1166,0,229,524,345,-1"
"091 465 Pitajanmaen yritysalue,""Tyovoima"",""Naiset"",1035,1019,0,201,379,345,-1"
"091 465 Pitajanmaen yritysalue,""Tyolliset"",""Yhteensa"",1970,1944,0,405,815,592,158"
"091 465 Pitajanmaen yritysalue,""Tyolliset"",""Miehet"",1047,1037,0,217,476,286,-1"
"091 465 Pitajanmaen yritysalue,""Tyolliset"",""Naiset"",923,907,0,188,339,306,-1"
"091 465 Pitajanmaen yritysalue,""Tyottomat"",""Yhteensa"",241,241,0,25,88,98,30"
"091 465 Pitajanmaen yritysalue,""Tyottomat"",""Miehet"",129,-1,0,-1,48,59,10"
"091 465 Pitajanmaen yritysalue,""Tyottomat"",""Naiset"",112,-1,0,-1,40,39,20"
"091 465 Pitajanmaen yritysalue,""Tyovoiman ulkopuolella olevat"",""Yhteensa"",1616,542,484,242,138,101,651"
"091 465 Pitajanmaen yritysalue,""Tyovoiman ulkopuolella olevat"",""Miehet"",775,279,260,128,61,54,272"
"091 465 Pitajanmaen yritysalue,""Tyovoiman ulkopuolella olevat"",""Naiset"",841,263,224,114,77,47,379"
"091 465 Pitajanmaen yritysalue,""0-14-vuotiaat"",""Yhteensa"",484,0,484,0,0,0,0"
"091 465 Pitajanmaen yritysalue,""0-14-vuotiaat"",""Miehet"",260,0,260,0,0,0,0"
"091 465 Pitajanmaen yritysalue,""0-14-vuotiaat"",""Naiset"",224,0,224,0,0,0,0"
"091 465 Pitajanmaen yritysalue,""Opiskelijat, koululaiset, varus- ja siviilipalvelu"",""Yhteensa"",249,-1,0,-1,46,10,-1"
"091 465 Pitajanmaen yritysalue,""Opiskelijat, koululaiset, varus- ja siviilipalvelu"",""Miehet"",-1,-1,0,-1,12,-1,-1"
"091 465 Pitajanmaen yritysalue,""Opiskelijat, koululaiset, varus- ja siviilipalvelu"",""Naiset"",133,-1,0,91,34,-1,-1"
"091 465 Pitajanmaen yritysalue,""Elakelaiset ja muut"",""Yhteensa"",883,295,0,51,92,91,649"
"091 465 Pitajanmaen yritysalue,""Elakelaiset ja muut"",""Miehet"",399,-1,0,-1,-1,-1,-1"
"091 465 Pitajanmaen yritysalue,""Elakelaiset ja muut"",""Naiset"",484,-1,0,-1,-1,-1,-1"
"091 205 Kaarelan peruspiiri,""Koko vaesto"",""Yhteensa"",30554,20446,4858,5814,7628,5306,6948"
"091 205 Kaarelan peruspiiri,""Koko vaesto"",""Miehet"",14724,10136,2507,2907,3925,2588,2797"
"091 205 Kaarelan peruspiiri,""Koko vaesto"",""Naiset"",15830,10310,2351,2907,3703,2718,4151"
"091 205 Kaarelan peruspiiri,""Tyovoima"",""Yhteensa"",15685,15484,0,3213,6296,4729,1447"
"091 205 Kaarelan peruspiiri,""Tyovoima"",""Miehet"",7822,7711,0,1564,3340,2281,637"
"091 205 Kaarelan peruspiiri,""Tyovoima"",""Naiset"",7863,7773,0,1649,2956,2448,810"
"091 205 Kaarelan peruspiiri,""Tyolliset"",""Yhteensa"",13720,13519,0,2862,5539,4112,1207"
"091 205 Kaarelan peruspiiri,""Tyolliset"",""Miehet"",6763,6652,0,1373,2940,1938,512"
"091 205 Kaarelan peruspiiri,""Tyolliset"",""Naiset"",6957,6867,0,1489,2599,2174,695"
"091 205 Kaarelan peruspiiri,""Tyottomat"",""Yhteensa"",1965,1965,0,351,757,617,240"
"091 205 Kaarelan peruspiiri,""Tyottomat"",""Miehet"",1059,1059,0,191,400,343,125"
"091 205 Kaarelan peruspiiri,""Tyottomat"",""Naiset"",906,906,0,160,357,274,115"
"091 205 Kaarelan peruspiiri,""Tyovoiman ulkopuolella olevat"",""Yhteensa"",14869,4962,4858,2601,1332,577,5501"
"091 205 Kaarelan peruspiiri,""Tyovoiman ulkopuolella olevat"",""Miehet"",6902,2425,2507,1343,585,307,2160"
