"Alue,""Paaasiallinen toiminta"",""Sukupuoli"",""Vaesto yhteensa 2021"",""15-64-vuotiaat yhteensa 2021"",""0-14-vuotiaat 2021"",""15-29-vuotiaat 2021"",""30-44-vuotiaat 2021"",""45-59-vuotiaat 2021"",""Yli 60-vuotiaat 2021"""
"091 20 Kluuvi,""Tyolliset"",""Naiset"",173,-1,0,-1,63,42,-1"
"091 20 Kluuvi,""Tyottomat"",""Yhteensa"",30,30,0,-1,16,-1,-1"
"091 20 Kluuvi,""Tyottomat"",""Miehet"",19,-1,0,-1,-1,-1,-1"
"091 20 Kluuvi,""Tyottomat"",""Naiset"",11,-1,0,-1,-1,0,-1"
"091 20 Kluuvi,""Tyovoiman ulkopuolella olevat"",""Yhteensa"",271,86,72,37,27,-1,126"
"091 20 Kluuvi,""Tyovoiman ulkopuolella olevat"",""Miehet"",130,-1,37,-1,-1,-1,63"
"091 20 Kluuvi,""Tyovoiman ulkopuolella olevat"",""Naiset"",141,-1,35,19,-1,-1,63"
"091 20 Kluuvi,""0-14-vuotiaat"",""Yhteensa"",72,0,72,0,0,0,0"
"091 20 Kluuvi,""0-14-vuotiaat"",""Miehet"",37,0,37,0,0,0,0"
"091 20 Kluuvi,""0-14-vuotiaat"",""Naiset"",35,0,35,0,0,0,0"
"091 20 Kluuvi,""Opiskelijat, koululaiset, varus- ja siviilipalvelu"",""Yhteensa"",36,-1,0,-1,-1,-1,0"
"091 20 Kluuvi,""Opiskelijat, koululaiset, varus- ja siviilipalvelu"",""Miehet"",-1,-1,0,-1,-1,0,0"
"091 20 Kluuvi,""Opiskelijat, koululaiset, varus- ja siviilipalvelu"",""Naiset"",21,-1,0,-1,-1,-1,0"
"091 20 Kluuvi,""Elakelaiset ja muut"",""Yhteensa"",163,50,0,10,19,-1,126"
"091 20 Kluuvi,""Elakelaiset ja muut"",""Miehet"",78,-1,0,-1,-1,-1,-1"
"091 20 Kluuvi,""Elakelaiset ja muut"",""Naiset"",85,-1,0,-1,-1,-1,-1"
"091 80 Katajanokka,""Koko vaesto"",""Yhteensa"",4932,3088,640,848,1028,955,1461"
"091 80 Katajanokka,""Koko vaesto"",""Miehet"",2321,1500,335,412,510,445,619"
"091 80 Katajanokka,""Koko vaesto"",""Naiset"",2611,1588,305,436,518,510,842"
"091 80 Katajanokka,""Tyovoima"",""Yhteensa"",2509,2466,0,511,899,852,247"
"091 80 Katajanokka,""Tyovoima"",""Miehet"",1228,1210,0,242,459,401,-1"
"091 80 Katajanokka,""Tyovoima"",""Naiset"",1281,1256,0,269,440,451,-1"
"091 80 Katajanokka,""Tyolliset"",""Yhteensa"",2318,2275,0,486,835,783,214"
"091 80 Katajanokka,""Tyolliset"",""Miehet"",1127,1109,0,223,424,371,-1"
"091 80 Katajanokka,""Tyolliset"",""Naiset"",1191,1166,0,263,411,412,-1"
"091 80 Katajanokka,""Tyottomat"",""Yhteensa"",191,191,0,25,64,69,33"
"091 80 Katajanokka,""Tyottomat"",""Miehet"",101,-1,0,-1,35,30,17"
"091 80 Katajanokka,""Tyottomat"",""Naiset"",90,-1,0,-1,29,39,16"
"091 80 Katajanokka,""Tyovoiman ulkopuolella olevat"",""Yhteensa"",2423,622,640,337,129,103,1214"
"091 80 Katajanokka,""Tyovoiman ulkopuolella olevat"",""Miehet"",1093,290,335,170,51,44,493"
"091 80 Katajanokka,""Tyovoiman ulkopuolella olevat"",""Naiset"",1330,332,305,167,78,59,721"
"091 80 Katajanokka,""0-14-vuotiaat"",""Yhteensa"",640,0,640,0,0,0,0"
"091 80 Katajanokka,""0-14-vuotiaat"",""Miehet"",335,0,335,0,0,0,0"
"091 80 Katajanokka,""0-14-vuotiaat"",""Naiset"",305,0,305,0,0,0,0"
"091 80 Katajanokka,""Opiskelijat, koululaiset, varus- ja siviilipalvelu"",""Yhteensa"",358,354,0,297,46,11,-1"
"091 80 Katajanokka,""Opiskelijat, koululaiset, varus- ja siviilipalvelu"",""Miehet"",171,-1,0,-1,-1,-1,-1"
"091 80 Katajanokka,""Opiskelijat, koululaiset, varus- ja siviilipalvelu"",""Naiset"",187,-1,0,-1,-1,-1,-1"
"091 80 Katajanokka,""Elakelaiset ja muut"",""Yhteensa"",1425,268,0,40,83,92,1210"
"091 80 Katajanokka,""Elakelaiset ja muut"",""Miehet"",587,-1,0,-1,-1,-1,-1"
"091 80 Katajanokka,""Elakelaiset ja muut"",""Naiset"",838,-1,0,-1,-1,-1,-1"
"091 102 Ullanlin-1 peruspiiri,""Koko vaesto"",""Yhteensa"",24645,17526,2865,5558,6042,4659,5521"
"091 102 Ullanlin-1 peruspiiri,""Koko vaesto"",""Miehet"",11441,8190,1481,2335,2975,2294,2356"
"091 102 Ullanlin-1 peruspiiri,""Koko vaesto"",""Naiset"",13204,9336,1384,3223,3067,2365,3165"
"091 102 Ullanlin-1 peruspiiri,""Tyovoima"",""Yhteensa"",14365,14129,0,3730,5338,4111,1186"
"091 102 Ullanlin-1 peruspiiri,""Tyovoima"",""Miehet"",6692,6565,0,1451,2659,2024,558"
"091 102 Ullanlin-1 peruspiiri,""Tyovoima"",""Naiset"",7673,7564,0,2279,2679,2087,628"
"091 102 Ullanlin-1 peruspiiri,""Tyolliset"",""Yhteensa"",13310,13074,0,3537,5004,3718,1051"
"091 102 Ullanlin-1 peruspiiri,""Tyolliset"",""Miehet"",6159,6032,0,1364,2481,1816,498"
"091 102 Ullanlin-1 peruspiiri,""Tyolliset"",""Naiset"",7151,7042,0,2173,2523,1902,553"
"091 102 Ullanlin-1 peruspiiri,""Tyottomat"",""Yhteensa"",1055,1055,0,193,334,393,135"
"091 102 Ullanlin-1 peruspiiri,""Tyottomat"",""Miehet"",533,533,0,87,178,208,60"
"091 102 Ullanlin-1 peruspiiri,""Tyottomat"",""Naiset"",522,522,0,106,156,185,75"
"091 102 Ullanlin-1 peruspiiri,""Tyovoiman ulkopuolella olevat"",""Yhteensa"",10280,3397,2865,1828,704,548,4335"
"091 102 Ullanlin-1 peruspiiri,""Tyovoiman ulkopuolella olevat"",""Miehet"",4749,1625,1481,884,316,270,1798"
"091 102 Ullanlin-1 peruspiiri,""Tyovoiman ulkopuolella olevat"",""Naiset"",5531,1772,1384,944,388,278,2537"
"091 102 Ullanlin-1 peruspiiri,""0-14-vuotiaat"",""Yhteensa"",2865,0,2865,0,0,0,0"
"091 102 Ullanlin-1 peruspiiri,""0-14-vuotiaat"",""Miehet"",1481,0,1481,0,0,0,0"
"091 102 Ullanlin-1 peruspiiri,""0-14-vuotiaat"",""Naiset"",1384,0,1384,0,0,0,0"
"091 102 Ullanlin-1 peruspiiri,""Opiskelijat, koululaiset, varus- ja siviilipalvelu"",""Yhteensa"",1858,1843,0,1547,217,71,23"
"091 102 Ullanlin-1 peruspiiri,""Opiskelijat, koululaiset, varus- ja siviilipalvelu"",""Miehet"",877,-1,0,-1,84,26,-1"
"091 102 Ullanlin-1 peruspiiri,""Opiskelijat, koululaiset, varus- ja siviilipalvelu"",""Naiset"",981,-1,0,-1,133,45,-1"
"091 102 Ullanlin-1 peruspiiri,""Elakelaiset ja muut"",""Yhteensa"",5557,1554,0,281,487,477,4312"
"091 102 Ullanlin-1 peruspiiri,""Elakelaiset ja muut"",""Miehet"",2391,-1,0,-1,232,244,1784"
"091 102 Ullanlin-1 peruspiiri,""Elakelaiset ja muut"",""Naiset"",3166,-1,0,-1,255,233,2528"
"091 30 Kaartinkaupunki,""Koko vaesto"",""Yhteensa"",1061,740,122,222,221,231,265"
