INDEX;ASUKKAITA;ASVALJYYS;IKA0_9;IKA10_19;IKA20_29;IKA30_39;IKA40_49;IKA50_59;IKA60_69;IKA70_79;IKA_YLI80
16303;15;40.67;99;99;99;99;99;99;99;99;99
16304;10;126.4;99;99;99;99;99;99;99;99;99
16305;47;82.72;99;99;99;99;99;99;99;99;99
16308;123;44.13;3;4;30;24;19;14;11;12;6
16309;177;76.97;7;19;18;31;20;31;23;16;12
16310;1049;37.4;84;89;194;183;137;128;109;81;44
16311;1814;34.55;118;161;467;361;264;176;133;91;43
16312;1980;28.97;93;106;513;411;305;180;161;149;62
16313;405;51.36;39;38;34;47;62;62;54;50;19
16314;301;54.8;33;39;19;27;56;54;37;19;17
16414;38;43.74;99;99;99;99;99;99;99;99;99
16415;449;33.07;82;62;52;88;93;42;22;6;2
16416;219;32.27;37;28;30;65;26;17;6;8;2
16417;685;31.28;125;107;80;127;108;73;40;21;4
16418;36;32.42;99;99;99;99;99;99;99;99;99
16428;18;45.56;99;99;99;99;99;99;99;99;99
16429;191;38.14;21;25;8;17;29;17;31;39;4
16430;206;38.74;35;29;8;33;33;18;25;19;6
16431;223;37.36;26;50;7;17;45;38;25;11;4
16432;223;42.86;20;38;7;15;31;35;38;30;9
16433;265;43.37;24;40;15;33;38;45;33;26;11
16434;244;37.93;34;35;10;28;52;26;28;23;8
16435;209;43.06;24;31;7;21;30;26;34;20;16
16436;209;36.06;30;38;7;35;35;22;17;18;7
16437;40;34.95;99;99;99;99;99;99;99;99;99
16438;262;41.23;19;24;18;31;42;45;37;34;12
16439;242;43.6;32;33;3;26;34;40;25;24;25
16440;195;40.1;30;52;3;22;41;36;8;3;0
16441;203;999999999;27;23;8;31;28;33;33;19;1
16443;28;999999999;99;99;99;99;99;99;99;99;99
16444;40;34.15;99;99;99;99;99;99;99;99;99
16445;211;35.52;13;21;36;43;36;21;22;16;3
16446;164;44.4;12;39;10;9;31;32;21;7;3
16448;45;999999999;99;99;99;99;99;99;99;99;99
16449;251;35.57;23;28;16;35;46;36;28;21;18
16450;295;33.86;20;24;44;57;41;22;35;34;18
16451;699;29.56;67;44;121;186;114;69;55;34;9
16452;263;25.13;16;17;24;51;33;38;38;35;11
16456;631;29.3;30;55;225;153;52;40;36;30;10
16457;1218;37.64;100;117;155;230;169;114;117;141;75
16458;902;33.7;94;46;158;222;165;81;74;55;7
16459;950;32.87;86;48;150;218;181;91;78;69;29
16460;1710;31.97;84;52;434;523;234;140;104;98;41
16461;128;36.9;4;0;19;38;19;19;15;9;5
16462;533;32.89;24;25;158;139;65;43;38;34;7
16463;1841;35.89;72;53;484;436;248;157;150;161;80
16464;108;30.99;13;4;24;27;18;6;7;5;4
16466;181;38.04;7;8;21;35;30;14;23;36;7
16467;16;22.81;99;99;99;99;99;99;99;99;99
16468;202;38.64;21;4;31;41;27;23;13;25;17
16469;38;69.53;99;99;99;99;99;99;99;99;99
16470;11;999999999;99;99;99;99;99;99;99;99;99
16471;14;999999999;99;99;99;99;99;99;99;99;99
16472;786;38.83;52;59;166;140;100;114;80;55;20
16473;764;41.48;66;109;131;103;114;91;65;65;20
16474;1976;41.68;134;141;464;353;272;233;167;148;64
16475;1256;45.81;77;102;227;194;146;166;136;135;73
16476;371;49.77;21;29;48;46;55;44;47;31;50
16576;119;33.87;6;5;25;27;23;14;12;5;2
16577;491;35.3;59;34;93;116;77;55;31;22;4
16578;439;34.45;58;46;57;110;74;48;23;17;6
16579;950;33.12;131;120;103;204;164;121;61;38;8
16580;142;29.34;31;20;10;26;27;11;9;6;2
16589;5;55.4;99;99;99;99;99;99;99;99;99
16590;225;36.43;32;27;15;29;35;30;27;23;7
16591;130;47.17;17;7;5;11;23;18;17;29;3
16592;185;39.81;25;26;10;34;28;22;16;18;6
16593;283;35.59;51;32;22;50;51;43;19;12;3
16594;116;43.2;12;7;1;20;14;19;16;19;8
16595;139;37.09;33;20;1;26;32;7;6;12;2
16596;87;38.37;99;99;99;99;99;99;99;99;99
16597;161;42.88;28;11;12;28;21;25;14;18;4
16598;96;29.05;99;99;99;99;99;99;99;99;99
16599;97;37.46;99;99;99;99;99;99;99;99;99
16600;209;35.53;28;31;18;28;29;27;24;14;10
16601;91;37.32;99;99;99;99;99;99;99;99;99
16603;429;52.78;68;44;67;90;62;38;17;23;20
16604;807;31.57;70;89;226;154;73;89;52;36;18
16605;234;21.9;4;9;11;22;26;27;22;39;74
16606;230;27.44;26;20;5;24;16;7;18;31;83
16607;451;44.36;31;54;39;66;59;59;63;48;32
16608;162;33.28;8;10;30;41;23;13;14;16;7
16609;135;31.56;22;13;23;22;26;14;4;8;3
