Taulu 17C Yksinasuvat (=yhden hengen asuntokunnat) sukupuolen ja iän mukaan peruspiireittäin vuodevaihteessa 2021/2022. Lähde: Tilastokeskus;;;;;;;;;;;;;;
Suurpiiri;Peruspiiri;Sukupuoli;Yhteensä;Ikä, vuotta -19;Ikä, vuotta 20-29;Ikä, vuotta 30-39;Ikä, vuotta 40-49;Ikä, vuotta 50-59;Ikä, vuotta 60-64;Ikä, vuotta 65-69;Ikä, vuotta 70-74;Ikä, vuotta 75-79;Ikä, vuotta 80-84;Ikä, vuotta '85-
3 Keskinen suurpiiri;  302 Alppiharju;Yhteensä ;6,390;118;2,025;1,630;796;617;287;259;252;176;110;120
3 Keskinen suurpiiri;  302 Alppiharju;Miehet ;3,079;31;783;897;497;380;142;135;103;59;25;27
3 Keskinen suurpiiri;  302 Alppiharju;Naiset ;3,311;87;1,242;733;299;237;145;124;149;117;85;93
3 Keskinen suurpiiri;  303 Vallila;Yhteensä ;6,022;95;1,737;1,295;752;704;359;299;292;209;144;136
3 Keskinen suurpiiri;  303 Vallila;Miehet ;2,749;31;761;661;428;354;151;126;105;66;37;29
3 Keskinen suurpiiri;  303 Vallila;Naiset ;3,273;64;976;634;324;350;208;173;187;143;107;107
3 Keskinen suurpiiri;  304 Pasila;Yhteensä ;3,076;47;667;583;302;374;207;205;241;189;123;138
3 Keskinen suurpiiri;  304 Pasila;Miehet ;1,316;15;289;332;192;182;75;60;75;57;18;21
3 Keskinen suurpiiri;  304 Pasila;Naiset ;1,760;32;378;251;110;192;132;145;166;132;105;117
3 Keskinen suurpiiri;  305 Vanhakaupunki;Yhteensä ;6,465;58;1,519;1,066;651;829;487;496;488;363;247;261
3 Keskinen suurpiiri;  305 Vanhakaupunki;Miehet ;2,561;20;685;524;361;355;161;139;150;73;48;45
3 Keskinen suurpiiri;  305 Vanhakaupunki;Naiset ;3,904;38;834;542;290;474;326;357;338;290;199;216
